,AGTP_ch4
0,0.0
1,2.562230328884373e-15
2,5.029774648691299e-15
3,7.405591230130355e-15
4,9.692547628324656e-15
5,1.1893423526546609e-14
6,1.4010913487363355e-14
7,1.6047629614343103e-14
8,1.800610412736095e-14
9,1.988879185443555e-14
10,2.169807264292318e-14
11,2.3436253692796436e-14
12,2.5105571814637786e-14
13,2.670819561488569e-14
14,2.824622761078146e-14
15,2.972170627737867e-14
16,3.11366080288944e-14
17,3.249284913660081e-14
18,3.379228758537956e-14
19,3.503672487098647e-14
20,3.622790774000271e-14
21,3.736752987437973e-14
22,3.845723352241918e-14
23,3.94986110779641e-14
24,4.04932066095174e-14
25,4.1442517340942565e-14
26,4.23479950853458e-14
27,4.3211047633682594e-14
28,4.403304009957863e-14
29,4.481529622180412e-14
30,4.5559099625790686e-14
31,4.626569504553221e-14
32,4.693628950716574e-14
33,4.757205347548326e-14
34,4.81741219645833e-14
35,4.874359561382927e-14
36,4.928154173024269e-14
37,4.978899529841991e-14
38,5.026695995902532e-14
39,5.071640895687701e-14
40,5.1138286059607576e-14
41,5.15335064478489e-14
42,5.1902957577858236e-14
43,5.224750001747118e-14
44,5.256796825623892e-14
45,5.2865171490576206e-14
46,5.3139894384720984e-14
47,5.339289780827841e-14
48,5.362491955109642e-14
49,5.3836675016195756e-14
50,5.402885789145234e-14
51,5.420214080070754e-14
52,5.4357175934958777e-14
53,5.4494595664261905e-14
54,5.4615013130955315e-14
55,5.471902282479606e-14
56,5.480720114057864e-14
57,5.488010691878827e-14
58,5.493828196982224e-14
59,5.498225158229584e-14
60,5.501252501593193e-14
61,5.5029595979517104e-14
62,5.503394309439193e-14
63,5.5026030343926733e-14
64,5.500630750942078e-14
65,5.497521059284725e-14
66,5.493316222685383e-14
67,5.488057207241472e-14
68,5.4817837204517136e-14
69,5.474534248625361e-14
70,5.466346093167853e-14
71,5.4572554057776415e-14
72,5.44729722258781e-14
73,5.4365054972850235e-14
74,5.424913133237296e-14
75,5.412552014661056e-14
76,5.399453036857045e-14
77,5.38564613554359e-14
78,5.3711603153149204e-14
79,5.356023677251332e-14
80,5.3402634457070714e-14
81,5.323905994301121e-14
82,5.306976871135113e-14
83,5.28950082326199e-14
84,5.2715018204281624e-14
85,5.2530030781112555e-14
86,5.234027079874843e-14
87,5.214595599060849e-14
88,5.194729719839716e-14
89,5.174449857637743e-14
90,5.153775778960427e-14
91,5.132726620630052e-14
92,5.11132090845517e-14
93,5.089576575349112e-14
94,5.067510978914093e-14
95,5.0451409185069906e-14
96,5.022482651802348e-14
97,4.9995519108677126e-14
98,4.9763639177658925e-14
99,4.9529333996983274e-14
100,4.929274603703287e-14
101,4.9054013109221875e-14
102,4.8813268504469665e-14
103,4.857064112760949e-14
104,4.832625562785374e-14
105,4.8080232525432914e-14
106,4.7832688334522234e-14
107,4.7583735682566253e-14
108,4.733348342610824e-14
109,4.70820367632283e-14
110,4.6829497342690615e-14
111,4.657596336989719e-14
112,4.632152970974281e-14
113,4.606628798646263e-14
114,4.5810326680561474e-14
115,4.555373122291075e-14
116,4.529658408609671e-14
117,4.503896487310102e-14
118,4.4780950403392145e-14
119,4.452261479650385e-14
120,4.426402955317468e-14
121,4.400526363412008e-14
122,4.374638353650667e-14
123,4.3487453368196123e-14
124,4.3228534919824035e-14
125,4.296968773477733e-14
126,4.2710969177131564e-14
127,4.245243449760801e-14
128,4.219413689760827e-14
129,4.1936127591382855e-14
130,4.16784558663879e-14
131,4.1421169141883266e-14
132,4.116431302582307e-14
133,4.0907931370088565e-14
134,4.0652066324111615e-14
135,4.039675838693581e-14
136,4.014204645776028e-14
137,3.988796788501103e-14
138,3.9634558513981815e-14
139,3.938185273308688e-14
140,3.9129883518765277e-14
141,3.887868247907636e-14
142,3.8628279896024285e-14
143,3.837870476664815e-14
144,3.812998484291399e-14
145,3.788214667044308e-14
146,3.763521562611028e-14
147,3.738921595454526e-14
148,3.7144170803568195e-14
149,3.6900102258590895e-14
150,3.6657031376013305e-14
151,3.641497821564426e-14
152,3.617396187217491e-14
153,3.5934000505731996e-14
154,3.569511137153769e-14
155,3.5457310848701716e-14
156,3.522061446817085e-14
157,3.4985036939860124e-14
158,3.4750592178989186e-14
159,3.4517293331647016e-14
160,3.428515279960697e-14
161,3.405418226441393e-14
162,3.382439271076461e-14
163,3.359579444920095e-14
164,3.3368397138137066e-14
165,3.3142209805238407e-14
166,3.291724086817185e-14
167,3.269349815474522e-14
168,3.2470988922453217e-14
169,3.2249719877447437e-14
170,3.202969719294659e-14
171,3.181092652710325e-14
172,3.159341304034278e-14
173,3.1377161412189555e-14
174,3.116217585759512e-14
175,3.0948460142782975e-14
176,3.0736017600623365e-14
177,3.0524851145552116e-14
178,3.0314963288046206e-14
179,3.010635614866912e-14
