,AGTP_ch4
0,0.0
1,2.546907935846217e-15
2,4.999676330937665e-15
3,7.361245507386374e-15
4,9.634465638728225e-15
5,1.1822099576182725e-14
6,1.3926825582852036e-14
7,1.595123997899457e-14
8,1.7897859701396393e-14
9,1.976912477975688e-14
10,2.156740073290064e-14
11,2.3294980887528984e-14
12,2.4954088622127387e-14
13,2.654687953855361e-14
14,2.807544356374163e-14
15,2.954180698387087e-14
16,3.094793441326785e-14
17,3.229573070022707e-14
18,3.358704277186228e-14
19,3.4823661420024364e-14
20,3.6007323030251615e-14
21,3.713971125564911e-14
22,3.8222458637528265e-14
23,3.92571481745733e-14
24,4.024531484224089e-14
25,4.118844706403889e-14
26,4.208798813627439e-14
27,4.294533760780535e-14
28,4.376185261627737e-14
29,4.453884918227654e-14
30,4.5277603462779526e-14
31,4.597935296523469e-14
32,4.6645297723562764e-14
33,4.7276601437320884e-14
34,4.787439257523161e-14
35,4.843976544423741e-14
36,4.897378122520182e-14
37,4.9477468976339703e-14
38,4.995182660542327e-14
39,5.0397821811773875e-14
40,5.081639299901643e-14
41,5.1208450159539436e-14
42,5.157487573157278e-14
43,5.191652542976321e-14
44,5.223422905009987e-14
45,5.252879125001135e-14
46,5.2800992304430155e-14
47,5.305158883859281e-14
48,5.3281314538317935e-14
49,5.349088083848103e-14
50,5.368097759037923e-14
51,5.385227370865767e-14
52,5.400541779844571e-14
53,5.414103876333047e-14
54,5.425974639477397e-14
55,5.4362131943560286e-14
56,5.444876867383992e-14
57,5.452021240031957e-14
58,5.4577002009127717e-14
59,5.461965996286899e-14
60,5.4648692790363434e-14
61,5.4664591561550393e-14
62,5.466783234802157e-14
63,5.465887666963178e-14
64,5.463817192762249e-14
65,5.460615182467776e-14
66,5.4563236772319806e-14
67,5.450983428603737e-14
68,5.444633936852753e-14
69,5.437313488141977e-14
70,5.4290591905838535e-14
71,5.4199070092149306e-14
72,5.409891799922238e-14
73,5.3990473423537434e-14
74,5.387406371844176e-14
75,5.375000610386499e-14
76,5.3618607966783624e-14
77,5.3480167152718925e-14
78,5.3334972248543066e-14
79,5.3183302856859787e-14
80,5.30254298622165e-14
81,5.2861615689398035e-14
82,5.26921145540427e-14
83,5.2517172705815225e-14
84,5.2337028664362536e-14
85,5.21519134482719e-14
86,5.196205079724391e-14
87,5.1767657387685744e-14
88,5.156894304192432e-14
89,5.136611093123217e-14
90,5.115935777285292e-14
91,5.094887402120779e-14
92,5.073484405345824e-14
93,5.051744634959498e-14
94,5.0296853667217957e-14
95,5.0073233211166963e-14
96,4.984674679815731e-14
97,4.961755101657072e-14
98,4.938579738154618e-14
99,4.915163248551189e-14
100,4.8915198144294336e-14
101,4.867663153893668e-14
102,4.843606535335486e-14
103,4.8193627907954874e-14
104,4.7949443289332293e-14
105,4.770363147617008e-14
106,4.7456308461447976e-14
107,4.720758637107317e-14
108,4.6957573579038076e-14
109,4.67063748192087e-14
110,4.6454091293843116e-14
111,4.620082077893695e-14
112,4.594665772648976e-14
113,4.5691693363783235e-14
114,4.543601578975967e-14
115,4.517971006858598e-14
116,4.492285832048651e-14
117,4.466553980992492e-14
118,4.440783103121333e-14
119,4.414980579162426e-14
120,4.389153529207893e-14
121,4.3633088205483e-14
122,4.3374530752778825e-14
123,4.311592677678119e-14
124,4.285733781386152e-14
125,4.259882316354368e-14
126,4.2340439956072175e-14
127,4.208224321801254e-14
128,4.182428593594092e-14
129,4.156661911827912e-14
130,4.130929185532895e-14
131,4.105235137755856e-14
132,4.079584311219174e-14
133,4.05398107381495e-14
134,4.028429623939208e-14
135,4.0029339956707963e-14
136,3.9774980637994794e-14
137,3.9521255487076524e-14
138,3.926820021109879e-14
139,3.9015849066544333e-14
140,3.8764234903908056e-14
141,3.851338921107098e-14
142,3.826334215541074e-14
143,3.8014122624684925e-14
144,3.776575826672341e-14
145,3.751827552796364e-14
146,3.7271699690862695e-14
147,3.702605491021848e-14
148,3.678136424843161e-14
149,3.653764970973869e-14
150,3.629493227344667e-14
151,3.605323192619714e-14
152,3.581256769328859e-14
153,3.5572957669083804e-14
154,3.5334419046528864e-14
155,3.5096968145809295e-14
156,3.486062044216835e-14
157,3.4625390592911526e-14
158,3.4391292463620723e-14
159,3.4158339153600974e-14
160,3.392654302058169e-14
161,3.369591570469395e-14
162,3.346646815174491e-14
163,3.323821063580894e-14
164,3.3011152781156003e-14
165,3.2785303583535695e-14
166,3.2560671430835665e-14
167,3.2337264123132666e-14
