,AGTP_ch4
0,0.0
1,2.5626945075550233e-15
2,5.0311458691522014e-15
3,7.408291802306442e-15
4,9.696980046306512e-15
5,1.1899971181740518e-14
6,1.4019941358192765e-14
7,1.605948493323981e-14
8,1.802111702576166e-14
9,1.990727598647746e-14
10,2.172032578851093e-14
11,2.34625583406921e-14
12,2.5136195726205503e-14
13,2.6743392369103104e-14
14,2.828623713111132e-14
15,2.976675534107558e-14
16,3.1186910759304015e-14
17,3.254860747899164e-14
18,3.385369176683076e-14
19,3.5103953844838884e-14
20,3.6301129615364794e-14
21,3.7446902331164726e-14
22,3.854290421237514e-14
23,3.9590718012144206e-14
24,4.0591878532624e-14
25,4.154787409296499e-14
26,4.246014795089904e-14
27,4.333009967944119e-14
28,4.4159086500187915e-14
29,4.494842457463914e-14
30,4.5699390254921487e-14
31,4.641322129524315e-14
32,4.7091118025365543e-14
33,4.773424448733218e-14
34,4.834372953665334e-14
35,4.8920667909103913e-14
36,4.946612125425261e-14
37,4.998111913680227e-14
38,5.046666000678495e-14
39,5.0923712139619185e-14
40,5.1353214547003806e-14
41,5.175607785958864e-14
42,5.2133185182331745e-14
43,5.2485392923421045e-14
44,5.2813531597610104e-14
45,5.311840660478754e-14
46,5.340079898457376e-14
47,5.36614661477111e-14
48,5.390114258498792e-14
49,5.412054055441311e-14
50,5.4320350747332834e-14
51,5.450124293415899e-14
52,5.4663866590355975e-14
53,5.480885150331166e-14
54,5.4936808360697054e-14
55,5.5048329320899554e-14
56,5.514398856609545e-14
57,5.5224342838508394e-14
58,5.528993196038278e-14
59,5.534127933818367e-14
60,5.537889245151797e-14
61,5.540326332725538e-14
62,5.541486899931228e-14
63,5.5414171954546e-14
64,5.5401620565193344e-14
65,5.5377649508271797e-14
66,5.53426801723496e-14
67,5.5297121052076807e-14
68,5.524136813085694e-14
69,5.517580525202704e-14
70,5.51008044789014e-14
71,5.501672644402315e-14
72,5.4923920687956844e-14
73,5.4822725987944396e-14
74,5.4713470676736414e-14
75,5.459647295190079e-14
76,5.44720411759013e-14
77,5.4340474167228883e-14
78,5.4202061482859753e-14
79,5.405708369230596e-14
80,5.3905812643514695e-14
81,5.3748511720865703e-14
82,5.358543609550706e-14
83,5.341683296826309e-14
84,5.3242941805339935e-14
85,5.3063994567047605e-14
86,5.288021592975051e-14
87,5.2691823501251364e-14
88,5.2499028029807603e-14
89,5.2302033606972485e-14
90,5.210103786444756e-14
91,5.1896232165127137e-14
92,5.1687801788509727e-14
93,5.1475926110646016e-14
94,5.1260778778787744e-14
95,5.10425278808966e-14
96,5.0821336110167244e-14
97,5.059736092471424e-14
98,5.037075470256733e-14
99,5.0141664892115696e-14
100,4.991023415813707e-14
101,4.967660052354342e-14
102,4.9440897506971373e-14
103,4.9203254256340625e-14
104,4.896379567850082e-14
105,4.8722642565083026e-14
106,4.847991171466861e-14
107,4.823571605138498e-14
108,4.799016474003381e-14
109,4.774336329785503e-14
110,4.74954137030257e-14
111,4.724641449999068e-14
112,4.6996460901718554e-14
113,4.674564488897371e-14
114,4.649405530669261e-14
115,4.624177795754958e-14
116,4.5988895692794956e-14
117,4.5735488500445906e-14
118,4.5481633590907667e-14
119,4.52274054801009e-14
120,4.4972876070168284e-14
121,4.4718114727831404e-14
122,4.4463188360466887e-14
123,4.420816148996851e-14
124,4.395309632446026e-14
125,4.3698052827923173e-14
126,4.344308878779688e-14
127,4.318825988061517e-14
128,4.293361973573285e-14
129,4.267921999719981e-14
130,4.242511038383603e-14
131,4.2171338747560286e-14
132,4.19179511300232e-14
133,4.1664991817594066e-14
134,4.141250339474937e-14
135,4.1160526795909565e-14
136,4.090910135576885e-14
137,4.0658264858162276e-14
138,4.040805358351206e-14
139,4.0158502354894834e-14
140,3.990964458276936e-14
141,3.966151230840397e-14
142,3.941413624604117e-14
143,3.916754582383583e-14
144,3.8921769223602803e-14
145,3.8676833419408213e-14
146,3.84327642150378e-14
147,3.818958628037495e-14
148,3.7947323186719736e-14
149,3.770599744107966e-14
150,3.7465630519461784e-14
151,3.722624289919499e-14
152,3.698785409031044e-14
153,3.67504826660073e-14
154,3.651414629223015e-14
155,3.6278861756383686e-14
156,3.6044644995209545e-14
157,3.5811511121849406e-14
158,3.557947445211769e-14
159,3.53485485300068e-14
160,3.511874615244675e-14
161,3.4890079393340835e-14
162,3.466255962689816e-14
163,3.443619755028282e-14
164,3.421100320560016e-14
165,3.3986986001238444e-14
166,3.37641547325847e-14
167,3.354251760213296e-14
168,3.3322082239001865e-14
169,3.310285571787911e-14
170,3.288484457740874e-14
171,3.26680548380376e-14
172,3.245249201933631e-14
173,3.2238161156809897e-14
174,3.202506681821265e-14
175,3.181321311938165e-14
176,3.160260373960243e-14
177,3.1393241936520555e-14
178,3.1185130560611825e-14
179,3.097827206922406e-14
180,3.077266854020251e-14
181,3.0568321685110924e-14
182,3.036523286206005e-14
183,3.016340308815437e-14
184,2.9962833051568627e-14
185,2.9763523123264276e-14
186,2.9565473368356373e-14
187,2.936868355714099e-14
188,2.917315317579275e-14
189,2.897888143674211e-14
190,2.8785867288741446e-14
191,2.859410942662891e-14
192,2.8403606300798808e-14
193,2.821435612638684e-14
194,2.802635689217836e-14
195,2.7839606369247775e-14
196,2.7654102119336575e-14
197,2.746984150297772e-14
198,2.7286821687373544e-14
199,2.710503965403423e-14
200,2.6924492206183937e-14
201,2.6745175975940958e-14
202,2.656708743127876e-14
203,2.6390222882773836e-14
204,2.6214578490146842e-14
205,2.6040150268602762e-14
206,2.5866934094975935e-14
207,2.5694925713685644e-14
208,2.5524120742507588e-14
209,2.5354514678166667e-14
210,2.5186102901756215e-14
211,2.501888068398855e-14
212,2.4852843190281993e-14
213,2.468798548568877e-14
214,2.452430253966856e-14
215,2.436178923071221e-14
216,2.4200440350819745e-14
217,2.4040250609837108e-14
218,2.3881214639655584e-14
219,2.3723326998277866e-14
220,2.3566582173754864e-14
221,2.341097458799659e-14
222,2.3256498600461234e-14
223,2.3103148511725605e-14
224,2.2950918566940592e-14
225,2.2799802959174926e-14
226,2.2649795832650444e-14
227,2.2500891285872128e-14
228,2.2353083374655897e-14
229,2.2206366115057116e-14
230,2.206073348620284e-14
231,2.191617943303047e-14
232,2.1772697868935634e-14
233,2.163028267833195e-14
234,2.1488927719125156e-14
235,2.1348626825104356e-14
236,2.120937380825244e-14
237,2.1071162460978444e-14
238,2.0933986558273856e-14
239,2.0797839859795285e-14
240,2.0662716111875528e-14
241,2.052860904946528e-14
242,2.03955123980074e-14
243,2.026341987524587e-14
244,2.0132325192971183e-14
245,2.0002222058704334e-14
246,1.987310417732089e-14
247,1.9744965252617204e-14
248,1.961779898882037e-14
249,1.9491599092043524e-14
250,1.9366359271688356e-14
251,1.9242073241796067e-14
252,1.9118734722348693e-14
253,1.899633744052194e-14
254,1.887487513189121e-14
255,1.8754341541592145e-14
256,1.8634730425437043e-14
257,1.8516035550988508e-14
258,1.839825069859157e-14
259,1.8281369662365666e-14
260,1.8165386251157488e-14
261,1.805029428945606e-14
262,1.7936087618271146e-14
263,1.7822760095976057e-14
264,1.7710305599115936e-14
265,1.759871802318277e-14
266,1.7487991283357782e-14
267,1.737811931522258e-14
268,1.7269096075439823e-14
269,1.7160915542404286e-14
270,1.7053571716865484e-14
271,1.6947058622522464e-14
272,1.6841370306591807e-14
273,1.6736500840349587e-14
274,1.6632444319648136e-14
275,1.6529194865408405e-14
276,1.6426746624088642e-14
277,1.6325093768130197e-14
278,1.6224230496381108e-14
279,1.612415103449822e-14
280,1.6024849635328503e-14
281,1.5926320579270185e-14
282,1.5828558174614426e-14
283,1.5731556757868113e-14
284,1.5635310694058324e-14
285,1.5539814377019186e-14
286,1.5445062229661526e-14
287,1.535104870422603e-14
288,1.525776828252038e-14
289,1.516521547614078e-14
290,1.5073384826678662e-14
291,1.498227090591272e-14
292,1.4891868315987034e-14
293,1.4802171689575586e-14
294,1.4713175690033645e-14
295,1.4624875011536543e-14
296,1.4537264379206116e-14
297,1.4450338549225422e-14
298,1.43640923089419e-14
299,1.4278520476959567e-14
300,1.4193617903220514e-14
301,1.4109379469076093e-14
302,1.4025800087348167e-14
303,1.3942874702380759e-14
304,1.3860598290082376e-14
305,1.3778965857959508e-14
306,1.3697972445141341e-14
307,1.3617613122396263e-14
308,1.3537882992140307e-14
309,1.3458777188437817e-14
310,1.3380290876994723e-14
311,1.3302419255144533e-14
312,1.322515755182751e-14
313,1.3148501027563068e-14
314,1.3072444974415799e-14
315,1.2996984715955333e-14
316,1.2922115607210177e-14
317,1.284783303461591e-14
318,1.2774132415957786e-14
319,1.270100920030812e-14
320,1.2628458867958526e-14
321,1.255647693034731e-14
322,1.2485058929982103e-14
323,1.2414200440358085e-14
324,1.2343897065871782e-14
325,1.227414444173077e-14
326,1.2204938233859384e-14
327,1.2136274138800636e-14
328,1.2068147883614445e-14
329,1.2000555225772402e-14
330,1.1933491953049153e-14
331,1.1866953883410647e-14
332,1.1800936864899275e-14
333,1.1735436775516094e-14
334,1.1670449523100295e-14
335,1.1605971045205963e-14
336,1.1541997308976398e-14
337,1.1478524311015915e-14
338,1.1415548077259412e-14
339,1.1353064662839786e-14
340,1.1291070151953194e-14
341,1.1229560657722423e-14
342,1.1168532322058391e-14
343,1.1107981315519863e-14
344,1.1047903837171507e-14
345,1.098829611444041e-14
346,1.0929154402971079e-14
347,1.0870474986479087e-14
348,1.0812254176603376e-14
349,1.0754488312757367e-14
350,1.0697173761978894e-14
351,1.0640306918779106e-14
352,1.0583884204990363e-14
353,1.0527902069613172e-14
354,1.0472356988662343e-14
355,1.0417245465012277e-14
356,1.036256402824163e-14
357,1.0308309234477219e-14
358,1.0254477666237396e-14
359,1.0201065932274885e-14
360,1.0148070667419079e-14
361,1.0095488532417982e-14
362,1.0043316213779723e-14
363,9.991550423613794e-15
364,9.940187899471962e-15
365,9.889225404188984e-15
366,9.838659725723144e-15
367,9.788487676996643e-15
368,9.738706095735913e-15
369,9.689311844311832e-15
370,9.640301809579982e-15
371,9.5916729027209e-15
372,9.543422059080402e-15
373,9.49554623800999e-15
374,9.448042422707416e-15
375,9.400907620057374e-15
376,9.354138860472433e-15
377,9.307733197734166e-15
378,9.261687708834518e-15
379,9.215999493817527e-15
380,9.170665675621264e-15
381,9.125683399920193e-15
382,9.081049834967832e-15
383,9.036762171439852e-15
384,8.992817622277538e-15
385,8.949213422531706e-15
386,8.905946829207079e-15
387,8.863015121107125e-15
388,8.820415598679384e-15
389,8.778145583861322e-15
390,8.736202419926697e-15
391,8.694583471332478e-15
392,8.653286123566342e-15
393,8.612307782994718e-15
394,8.571645876711465e-15
395,8.531297852387108e-15
396,8.491261178118744e-15
397,8.451533342280552e-15
398,8.412111853374964e-15
399,8.372994239884486e-15
400,8.3341780501242e-15
401,8.295660852094913e-15
