,AGTP_co2
0,0.0
1,2.1889132911651146e-17
2,4.299759679090546e-17
3,6.335103249140086e-17
4,8.297427085204584e-17
5,1.0189135766269213e-16
6,1.2012557787331373e-16
7,1.3769947906933505e-16
8,1.5463489423508119e-16
9,1.7095296382667292e-16
10,1.866741571750532e-16
11,2.0181829323922004e-16
12,2.164045607291419e-16
13,2.3045153761725825e-16
14,2.4397721005690165e-16
15,2.569989907254341e-16
16,2.695337366093641e-16
17,2.8159776624819527e-16
18,2.9320687645325894e-16
19,3.043763585173034e-16
20,3.151210139301378e-16
21,3.254551696151793e-16
22,3.3539269270130776e-16
23,3.4494700484399877e-16
24,3.5413109610930394e-16
25,3.6295753843382315e-16
26,3.7143849867344036e-16
27,3.795857512532057e-16
28,3.8741069043037376e-16
29,3.9492434218226006e-16
30,4.021373757302237e-16
31,4.090601147107444e-16
32,4.157025480042433e-16
33,4.220743402319719e-16
34,4.2818484193098867e-16
35,4.3404309941694214e-16
36,4.396578643440936e-16
37,4.450376029717206e-16
38,4.501905051457861e-16
39,4.551244930044707e-16
40,4.598472294159317e-16
41,4.643661261563841e-16
42,4.686883518363659e-16
43,4.728208395828144e-16
44,4.767702944843488e-16
45,4.805432008069347e-16
46,4.841458289868932e-16
47,4.875842424080048e-16
48,4.908643039692595e-16
49,4.939916824496076e-16
50,4.969718586758729e-16
51,4.998101314998088e-16
52,5.025116235900961e-16
53,5.050812870449076e-16
54,5.075239088304974e-16
55,5.098441160511064e-16
56,5.120463810553194e-16
57,5.1413502638385285e-16
58,5.161142295636035e-16
59,5.179880277526451e-16
60,5.197603222407123e-16
61,5.214348828095876e-16
62,5.230153519576574e-16
63,5.245052489927912e-16
64,5.259079739975607e-16
65,5.272268116707028e-16
66,5.284649350486066e-16
67,5.296254091104961e-16
68,5.307111942708664e-16
69,5.317251497626236e-16
70,5.326700369142786e-16
71,5.335485223244373e-16
72,5.343631809367381e-16
73,5.351164990182909e-16
74,5.358108770445746e-16
75,5.364486324936695e-16
76,5.370320025526076e-16
77,5.375631467385384e-16
78,5.38044149437337e-16
79,5.384770223621841e-16
80,5.388637069345919e-16
81,5.392060765902538e-16
82,5.3950593901204175e-16
83,5.397650382923938e-16
84,5.399850570272703e-16
85,5.401676183437894e-16
86,5.403142878635922e-16
87,5.404265756039215e-16
88,5.40505937818338e-16
89,5.40553778778947e-16
90,5.405714525019351e-16
91,5.405602644181843e-16
92,5.405214729906564e-16
93,5.404562912802015e-16
94,5.403658884613902e-16
95,5.402513912899193e-16
96,5.401138855230977e-16
97,5.399544172948674e-16
98,5.397739944467751e-16
99,5.395735878162646e-16
100,5.3935413248362e-16
101,5.391165289788446e-16
102,5.3886164444972785e-16
103,5.385903137923101e-16
104,5.383033407449176e-16
105,5.380014989469072e-16
106,5.37685532963223e-16
107,5.373561592758341e-16
108,5.370140672430916e-16
109,5.366599200280067e-16
110,5.362943554964274e-16
111,5.359179870860542e-16
112,5.355314046472144e-16
113,5.351351752562787e-16
114,5.347298440025797e-16
115,5.343159347496701e-16
116,5.338939508717224e-16
117,5.334643759658586e-16
118,5.330276745411652e-16
119,5.325842926851301e-16
120,5.321346587082153e-16
121,5.316791837672552e-16
122,5.312182624683501e-16
123,5.307522734499054e-16
124,5.302815799464419e-16
125,5.298065303337926e-16
126,5.293274586562706e-16
127,5.288446851363832e-16
128,5.283585166676488e-16
129,5.278692472910503e-16
130,5.273771586556499e-16
131,5.268825204638647e-16
132,5.263855909019001e-16
133,5.258866170558061e-16
134,5.253858353136235e-16
135,5.248834717540589e-16
136,5.243797425221237e-16
137,5.238748541921533e-16
138,5.233690041186106e-16
139,5.228623807750677e-16
140,5.223551640817439e-16
141,5.218475257219687e-16
142,5.213396294479272e-16
143,5.208316313760333e-16
144,5.203236802722618e-16
145,5.198159178277707e-16
146,5.193084789251199e-16
147,5.188014918953973e-16
148,5.182950787665409e-16
149,5.177893555031486e-16
150,5.172844322380464e-16
151,5.167804134958862e-16
152,5.162773984090334e-16
153,5.157754809259907e-16
154,5.152747500126088e-16
155,5.147752898463122e-16
156,5.142771800035737e-16
157,5.137804956408562e-16
158,5.132853076692364e-16
159,5.127916829229184e-16
160,5.122996843218363e-16
161,5.118093710285425e-16
162,5.113207985995681e-16
163,5.108340191314384e-16
164,5.103490814015203e-16
165,5.098660310038717e-16
166,5.0938491048026e-16
167,5.089057594465079e-16
168,5.084286147143228e-16
169,5.079535104087602e-16
170,5.074804780814657e-16
171,5.07009546819837e-16
172,5.065407433522423e-16
173,5.060740921494263e-16
174,5.056096155222309e-16
175,5.051473337157582e-16
176,5.046872650000889e-16
177,5.042294257576782e-16
178,5.037738305675371e-16
179,5.033204922863096e-16
180,5.028694221263498e-16
181,5.024206297309024e-16
182,5.019741232464815e-16
183,5.015299093925468e-16
184,5.010879935285659e-16
185,5.00648379718555e-16
186,5.002110707931799e-16
187,4.99776068409507e-16
188,4.993433731084787e-16
189,4.989129843701951e-16
190,4.984849006670757e-16
191,4.98059119514977e-16
192,4.97635637522332e-16
193,4.972144504373859e-16
194,4.967955531935876e-16
195,4.96378939953208e-16
196,4.959646041492406e-16
197,4.955525385256492e-16
198,4.951427351760177e-16
199,4.947351855806598e-16
200,4.943298806422402e-16
201,4.93926810719963e-16
202,4.935259656623772e-16
203,4.931273348388446e-16
204,4.927309071697235e-16
205,4.923366711553088e-16
206,4.919446149035763e-16
207,4.9155472615677065e-16
208,4.911669923168832e-16
209,4.90781400470054e-16
210,4.903979374099414e-16
211,4.900165896600931e-16
212,4.896373434953584e-16
213,4.892601849623724e-16
214,4.8888509989915e-16
215,4.885120739538183e-16
216,4.881410926025238e-16
217,4.877721411665389e-16
218,4.874052048286024e-16
219,4.870402686485197e-16
220,4.866773175780509e-16
221,4.863163364751129e-16
222,4.859573101173219e-16
223,4.856002232148999e-16
224,4.852450604229705e-16
225,4.84891806353266e-16
226,4.845404455852693e-16
227,4.841909626768102e-16
228,4.838433421741381e-16
229,4.834975686214932e-16
230,4.831536265701905e-16
231,4.828115005872405e-16
232,4.824711752635219e-16
233,4.821326352215242e-16
234,4.817958651226775e-16
235,4.814608496742848e-16
236,4.811275736360747e-16
237,4.807960218263857e-16
238,4.804661791280017e-16
239,4.801380304936475e-16
240,4.79811560951163e-16
241,4.794867556083656e-16
242,4.791635996576137e-16
243,4.788420783800863e-16
244,4.785221771497875e-16
245,4.78203881437288e-16
246,4.778871768132161e-16
247,4.775720489515059e-16
248,4.772584836324158e-16
249,4.769464667453252e-16
250,4.766359842913191e-16
251,4.763270223855704e-16
252,4.760195672595292e-16
253,4.757136052629237e-16
254,4.754091228655879e-16
255,4.75106106659116e-16
256,4.748045433583576e-16
257,4.745044198027566e-16
258,4.742057229575432e-16
259,4.739084399147851e-16
260,4.736125578943032e-16
261,4.733180642444613e-16
262,4.730249464428309e-16
263,4.727331920967426e-16
264,4.724427889437238e-16
265,4.721537248518336e-16
266,4.718659878198951e-16
267,4.715795659776352e-16
268,4.712944475857304e-16
269,4.710106210357703e-16
270,4.707280748501363e-16
271,4.704467976818047e-16
272,4.701667783140777e-16
273,4.698880056602421e-16
274,4.696104687631649e-16
275,4.693341567948256e-16
276,4.690590590557918e-16
277,4.687851649746366e-16
278,4.685124641073069e-16
279,4.682409461364418e-16
280,4.679706008706444e-16
281,4.677014182437114e-16
282,4.674333883138219e-16
283,4.671665012626883e-16
284,4.669007473946716e-16
285,4.666361171358647e-16
286,4.663726010331437e-16
287,4.661101897531914e-16
288,4.658488740814955e-16
289,4.655886449213191e-16
290,4.653294932926528e-16
291,4.650714103311432e-16
292,4.64814387287004e-16
293,4.645584155239089e-16
294,4.643034865178698e-16
295,4.640495918561005e-16
296,4.637967232358673e-16
297,4.635448724633292e-16
298,4.632940314523682e-16
299,4.630441922234101e-16
300,4.627953469022386e-16
301,4.6254748771880285e-16
302,4.623006070060203e-16
303,4.62054697198575e-16
304,4.618097508317132e-16
305,4.615657605400354e-16
306,4.613227190562894e-16
307,4.610806192101618e-16
308,4.608394539270687e-16
309,4.605992162269503e-16
