,AGTP_n2o
0,0.0
1,4.597079484191349e-15
2,9.05885417018145e-15
3,1.3389322175747878e-14
4,1.7592359983030824e-14
5,2.1671726278735335e-14
6,2.5631065667744908e-14
7,2.9473912264514694e-14
8,3.3203693166453845e-14
9,3.682373181335635e-14
10,4.0337251236792515e-14
11,4.374737720323424e-14
12,4.705714125455055e-14
13,5.026948364938127e-14
14,5.33872562087702e-14
15,5.641322506931911e-14
16,5.935007334700781e-14
17,6.22004037147131e-14
18,6.496674089635247e-14
19,6.765153408047416e-14
20,7.025715925601526e-14
21,7.278592147285377e-14
22,7.524005702968759e-14
23,7.762173559168348e-14
24,7.993306224025507e-14
25,8.217607945724304e-14
26,8.435276904569427e-14
27,8.646505398935659e-14
28,8.851480025293474e-14
29,9.050381852507898e-14
30,9.243386590601115e-14
31,9.430664754162589e-14
32,9.612381820584017e-14
33,9.788698383290428e-14
34,9.959770300132688e-14
35,1.0125748837100997e-13
36,1.0286780807513432e-13
37,1.044300870682835e-13
38,1.0594570843224241e-13
39,1.0741601464085758e-13
40,1.0884230878529858e-13
41,1.1022585576101438e-13
42,1.1156788341763369e-13
43,1.1286958367301607e-13
44,1.1413211359261946e-13
45,1.1535659643530986e-13
46,1.1654412266670117e-13
47,1.176957509410749e-13
48,1.1881250905289657e-13
49,1.1989539485890772e-13
50,1.20945377171743e-13
51,1.219633966259866e-13
52,1.2295036651755432e-13
53,1.2390717361725523e-13
54,1.2483467895936057e-13
55,1.2573371860597792e-13
56,1.266051043880036e-13
57,1.2744962462339857e-13
58,1.282680448135108e-13
59,1.2906110831814017e-13
60,1.2982953701002135e-13
61,1.30574031909376e-13
62,1.31295273799165e-13
63,1.319939238216502e-13
64,1.3267062405685475e-13
65,1.3332599808349334e-13
66,1.3396065152292136e-13
67,1.345751725666387e-13
68,1.3517013248786195e-13
69,1.3574608613766465e-13
70,1.3630357242616836e-13
71,1.368431147892502e-13
72,1.3736522164121986e-13
73,1.3787038681390197e-13
74,1.383590899825463e-13
75,1.3883179707897628e-13
76,1.3928896069236937e-13
77,1.397310204580541e-13
78,1.401584034346937e-13
79,1.4057152447021422e-13
80,1.4097078655682576e-13
81,1.4135658117547139e-13
82,1.4172928863002965e-13
83,1.420892783715855e-13
84,1.4243690931307344e-13
85,1.4277253013458958e-13
86,1.4309647957965603e-13
87,1.4340908674271604e-13
88,1.4371067134812632e-13
89,1.4400154402090645e-13
90,1.4428200654949574e-13
91,1.445523521407615e-13
92,1.448128656674929e-13
93,1.450638239086097e-13
94,1.453054957823052e-13
95,1.4553814257233855e-13
96,1.4576201814768267e-13
97,1.4597736917572859e-13
98,1.4618443532924094e-13
99,1.4638344948725192e-13
100,1.465746379300775e-13
101,1.4675822052863095e-13
102,1.4693441092820634e-13
103,1.4710341672689682e-13
104,1.472654396488089e-13
105,1.4742067571222844e-13
106,1.475693153928891e-13
107,1.4771154378248952e-13
108,1.47847540742601e-13
109,1.4797748105410322e-13
110,1.4810153456228065e-13
111,1.4821986631770888e-13
112,1.4833263671305661e-13
113,1.4844000161592317e-13
114,1.4854211249783037e-13
115,1.4863911655948173e-13
116,1.4873115685240006e-13
117,1.4881837239705036e-13
118,1.4890089829755127e-13
119,1.489788658530767e-13
120,1.4905240266604454e-13
121,1.4912163274718692e-13
122,1.4918667661759452e-13
123,1.492476514078233e-13
124,1.4930467095414984e-13
125,1.4935784589205965e-13
126,1.494072837470486e-13
127,1.494530890228172e-13
128,1.4949536328693333e-13
129,1.4953420525403756e-13
130,1.4956971086666334e-13
131,1.4960197337374095e-13
132,1.4963108340685351e-13
133,1.4965712905430988e-13
134,1.49680195933099e-13
135,1.4970036725878608e-13
136,1.4971772391341165e-13
137,1.4973234451145058e-13
138,1.4974430546388838e-13
139,1.497536810404683e-13
140,1.497605434301634e-13
141,1.4976496279992378e-13
142,1.4976700735175044e-13
143,1.4976674337814252e-13
144,1.4976423531596632e-13
145,1.4975954579879097e-13
146,1.4975273570773522e-13
147,1.4974386422086817e-13
148,1.497329888612062e-13
149,1.497201655433456e-13
150,1.497054486187709e-13
151,1.496888909198773e-13
152,1.4967054380274288e-13
153,1.496504571886881e-13
154,1.4962867960465629e-13
155,1.496052582224496e-13
156,1.4958023889685303e-13
157,1.4955366620267822e-13
158,1.4952558347075878e-13
159,1.4949603282292574e-13
160,1.494650552059939e-13
161,1.4943269042478648e-13
162,1.4939897717422557e-13
163,1.4936395307051548e-13
164,1.4932765468144477e-13
165,1.4929011755583178e-13
166,1.4925137625213863e-13
167,1.4921146436627712e-13
168,1.4917041455862964e-13
169,1.4912825858030738e-13
170,1.490850272986675e-13
171,1.490407507221111e-13
172,1.489954580241809e-13
173,1.4894917756698039e-13
174,1.4890193692393233e-13
175,1.4885376290189607e-13
176,1.4880468156266196e-13
177,1.4875471824383968e-13
178,1.487038975791592e-13
179,1.4865224351819948e-13
180,1.4859977934556226e-13
181,1.4854652769950602e-13
182,1.484925105900557e-13
183,1.484377494166032e-13
184,1.4838226498501226e-13
185,1.4832607752424334e-13
186,1.4826920670251e-13
187,1.4821167164298188e-13
188,1.4815349093904618e-13
189,1.4809468266914005e-13
190,1.480352644111667e-13
191,1.4797525325650614e-13
192,1.4791466582363274e-13
193,1.4785351827135008e-13
194,1.4779182631165462e-13
195,1.477296052222378e-13
196,1.4766686985863748e-13
197,1.4760363466604843e-13
198,1.4753991369080116e-13
199,1.4747572059151866e-13
200,1.4741106864996079e-13
201,1.4734597078156325e-13
202,1.4728043954568243e-13
203,1.4721448715555162e-13
204,1.4714812548795913e-13
205,1.4708136609265413e-13
206,1.4701422020148963e-13
207,1.469466987373085e-13
208,1.468788123225808e-13
209,1.4681057128779906e-13
210,1.4674198567963785e-13
211,1.466730652688854e-13
212,1.4660381955815234e-13
213,1.4653425778936478e-13
214,1.4646438895104758e-13
215,1.4639422178540318e-13
216,1.4632376479519275e-13
217,1.4625302625042386e-13
218,1.461820141948517e-13
219,1.4611073645229731e-13
220,1.4603920063278983e-13
221,1.4596741413853597e-13
222,1.4589538416972274e-13
223,1.4582311773015758e-13
224,1.4575062163275075e-13
225,1.4567790250484382e-13
226,1.4560496679338963e-13
227,1.4553182076998652e-13
228,1.454584705357722e-13
229,1.4538492202618035e-13
230,1.4531118101556424e-13
231,1.4523725312169065e-13
232,1.4516314381010846e-13
233,1.4508885839839435e-13
234,1.4501440206028047e-13
235,1.4493977982966572e-13
236,1.4486499660451543e-13
237,1.4479005715065165e-13
238,1.4471496610543728e-13
239,1.446397279813572e-13
240,1.4456434716949922e-13
241,1.4448882794293747e-13
242,1.4441317446002136e-13
243,1.4433739076757213e-13
244,1.4426148080399034e-13
245,1.441854484022759e-13
246,1.441092972929643e-13
247,1.4403303110697992e-13
248,1.4395665337840988e-13
249,1.4388016754720044e-13
250,1.4380357696177736e-13
251,1.4372688488159343e-13
252,1.4365009447960466e-13
253,1.4357320884467683e-13
254,1.4349623098392508e-13
255,1.4341916382498764e-13
256,1.4334201021823644e-13
257,1.4326477293892528e-13
258,1.4318745468927822e-13
259,1.4311005810051944e-13
260,1.4303258573484633e-13
261,1.429550400873471e-13
262,1.4287742358786514e-13
263,1.4279973860281087e-13
264,1.4272198743692284e-13
265,1.4264417233498e-13
266,1.425662954834652e-13
267,1.4248835901218295e-13
268,1.4241036499583148e-13
269,1.4233231545553088e-13
270,1.422542123603083e-13
271,1.4217605762854188e-13
272,1.420978531293638e-13
273,1.4201960068402465e-13
274,1.41941302067219e-13
275,1.4186295900837426e-13
276,1.4178457319290315e-13
277,1.4170614626342152e-13
278,1.4162767982093131e-13
279,1.415491754259714e-13
280,1.414706345997353e-13
281,1.4139205882515819e-13
282,1.41313449547973e-13
283,1.4123480817773737e-13
284,1.4115613608883148e-13
285,1.410774346214282e-13
286,1.409987050824359e-13
287,1.4091994874641484e-13
288,1.4084116685646804e-13
