,AGWP_ch4
0,0.0
1,1.988909185438886e-14
2,3.9610812333937304e-14
3,5.916701231096666e-14
4,7.855949896054203e-14
5,9.779003757775776e-14
6,1.1686035331120295e-13
7,1.3577213281640175e-13
8,1.545270258328535e-13
9,1.7312664668813857e-13
10,1.915725757324042e-13
11,2.09866360706397e-13
12,2.2800951804606877e-13
13,2.460035341266503e-13
14,2.6384986644895596e-13
15,2.8154994477056363e-13
16,2.991051721843924e-13
17,3.165169261470966e-13
18,3.337865594595731e-13
19,3.5091540120179413e-13
20,3.6790475762406397e-13
21,3.8475591299671386e-13
22,4.014701304201537e-13
23,4.1804865259711806e-13
24,4.344927025688583e-13
25,4.5080348441695543e-13
26,4.669821839323523e-13
27,4.83029969253133e-13
28,4.989479914725101e-13
29,5.147373852184073e-13
30,5.303992692059727e-13
31,5.45934746764294e-13
32,5.613449063385179e-13
33,5.766308219685455e-13
34,5.917935537453969e-13
35,6.068341482463092e-13
36,6.217536389495654e-13
37,6.365530466300242e-13
38,6.512333797362615e-13
39,6.65795634750203e-13
40,6.802407965300795e-13
41,6.945698386375058e-13
42,7.087837236494389e-13
43,7.228834034557469e-13
44,7.368698195430728e-13
45,7.507439032656606e-13
46,7.645065761037704e-13
47,7.781587499102795e-13
48,7.917013271460493e-13
49,8.051352011045969e-13
50,8.184612561265951e-13
51,8.316803678046988e-13
52,8.447934031791672e-13
53,8.578012209247345e-13
54,8.707046715291596e-13
55,8.835045974638628e-13
56,8.962018333470419e-13
57,9.087972060996356e-13
58,9.212915350944944e-13
59,9.336856322990907e-13
60,9.459803024120931e-13
61,9.58176342994111e-13
62,9.70274544592896e-13
63,9.8227569086329e-13
64,9.941805586821649e-13
65,1.005989918258628e-12
66,1.0177045332397129e-12
67,1.0293251608117957e-12
68,1.0408525517979516e-12
69,1.0522874507514519e-12
70,1.063630596045607e-12
71,1.0748827199601347e-12
72,1.0860445487642349e-12
73,1.0971168027965404e-12
74,1.1081001965420997e-12
75,1.1189954387065515e-12
76,1.1298032322876296e-12
77,1.1405242746441376e-12
78,1.1511592575625314e-12
79,1.161708867321218e-12
80,1.1721737847527106e-12
81,1.1825546853037308e-12
82,1.1928522390933807e-12
83,1.2030671109694747e-12
84,1.2131999605631383e-12
85,1.223251442341753e-12
86,1.233222205660343e-12
87,1.2431128948114827e-12
88,1.252924149073801e-12
89,1.262656602759159e-12
90,1.272310885258571e-12
91,1.2818876210869318e-12
92,1.291387429926618e-12
93,1.3008109266700188e-12
94,1.3101587214610546e-12
95,1.3194314197357381e-12
96,1.3286296222618235e-12
97,1.337753925177598e-12
98,1.3468049200298591e-12
99,1.3557831938111136e-12
100,1.3646893289960515e-12
101,1.373523903577321e-12
102,1.3822874911006505e-12
103,1.390980660699341e-12
104,1.3996039771281749e-12
105,1.4081580007967589e-12
106,1.4166432878023367e-12
107,1.4250603899620985e-12
108,1.433409854845009e-12
109,1.4416922258031832e-12
110,1.4499080420028272e-12
111,1.458057838454772e-12
112,1.466142146044613e-12
113,1.474161491562482e-12
114,1.482116397732462e-12
115,1.490007383241668e-12
116,1.497834962769006e-12
117,1.5055996470136245e-12
118,1.5133019427230782e-12
119,1.5209423527212064e-12
120,1.5285213759357515e-12
121,1.5360395074257168e-12
122,1.5434972384084823e-12
123,1.5508950562866883e-12
124,1.558233444674889e-12
125,1.5655128834259954e-12
126,1.572733848657508e-12
127,1.5798968127775477e-12
128,1.5870022445106997e-12
129,1.5940506089236638e-12
130,1.6010423674507323e-12
131,1.6079779779190877e-12
132,1.6148578945739368e-12
133,1.6216825681034768e-12
134,1.628452445663709e-12
135,1.6351679709030888e-12
136,1.6418295839870335e-12
137,1.64843772162228e-12
138,1.654992817081098e-12
139,1.6614953002253668e-12
140,1.6679455975305093e-12
141,1.6743441321092982e-12
142,1.6806913237355223e-12
143,1.6869875888675316e-12
144,1.6932333406716475e-12
145,1.6994289890454502e-12
146,1.7055749406409427e-12
147,1.7116715988875905e-12
148,1.7177193640152407e-12
149,1.723718633076922e-12
150,1.7296697999715246e-12
151,1.7355732554663654e-12
152,1.741429387219631e-12
153,1.7472385798027125e-12
154,1.7530012147224176e-12
155,1.7587176704430736e-12
156,1.7643883224085144e-12
157,1.7700135430639537e-12
158,1.7755937018777473e-12
159,1.7811291653630418e-12
160,1.7866202970993087e-12
161,1.7920674577537734e-12
162,1.7974710051027235e-12
163,1.8028312940527142e-12
164,1.8081486766616564e-12
165,1.8134235021597964e-12
166,1.818656116970584e-12
167,1.8238468647314295e-12
168,1.828996086314351e-12
169,1.834104119846507e-12
170,1.8391713007306227e-12
171,1.8441979616653043e-12
172,1.849184432665238e-12
173,1.854131041081285e-12
174,1.8590381116204597e-12
175,1.8639059663657983e-12
176,1.8687349247961204e-12
177,1.8735253038056735e-12
178,1.8782774177236674e-12
179,1.882991578333702e-12
180,1.8876680948930785e-12
181,1.892307274152001e-12
182,1.8969094203726676e-12
183,1.9014748353482483e-12
184,1.9060038184217524e-12
185,1.9104966665047853e-12
186,1.914953674096192e-12
187,1.9193751333005873e-12
188,1.923761333846781e-12
189,1.9281125631060833e-12
190,1.932429106110504e-12
191,1.93671124557084e-12
192,1.9409592618946466e-12
193,1.9451734332041028e-12
194,1.949354035353764e-12
195,1.9535013419481973e-12
196,1.9576156243595172e-12
197,1.9616971517447977e-12
198,1.96574619106338e-12
199,1.969763007094071e-12
200,1.973747862452224e-12
201,1.9777010176067156e-12
202,1.9816227308968064e-12
203,1.9855132585488954e-12
204,1.9893728546931636e-12
205,1.9932017713801024e-12
206,1.9970002585969412e-12
207,2.0007685642839573e-12
208,2.0045069343506776e-12
209,2.0082156126919794e-12
210,2.0118948412040657e-12
211,2.015544859800351e-12
212,2.019165906427225e-12
213,2.0227582170797104e-12
214,2.0263220258170183e-12
215,2.02985756477799e-12
216,2.0333650641964366e-12
217,2.036844752416364e-12
218,2.040296855907101e-12
219,2.0437215992783142e-12
220,2.047119205294918e-12
221,2.0504898948918802e-12
222,2.0538338871889225e-12
223,2.057151399505116e-12
224,2.0604426473733703e-12
225,2.0637078445548193e-12
226,2.0669472030531057e-12
227,2.07016093312856e-12
228,2.0733492433122745e-12
229,2.0765123404200806e-12
230,2.079650429566417e-12
231,2.0827637141781023e-12
232,2.0858523960080036e-12
233,2.0889166751486034e-12
234,2.0919567500454683e-12
235,2.0949728175106154e-12
236,2.0979650727357855e-12
237,2.1009337093056055e-12
238,2.1038789192106666e-12
239,2.1068008928604934e-12
240,2.1096998190964205e-12
241,2.112575885204373e-12
242,2.1154292769275457e-12
243,2.1182601784789916e-12
244,2.121068772554114e-12
245,2.123855240343058e-12
246,2.1266197615430158e-12
247,2.1293625143704326e-12
248,2.1320836755731195e-12
249,2.134783420442278e-12
250,2.1374619228244217e-12
251,2.140119355133222e-12
252,2.142755888361245e-12
253,2.1453716920916117e-12
254,2.1479669345095596e-12
255,2.150541782413916e-12
256,2.1530964012284873e-12
257,2.155630955013349e-12
258,2.158145606476061e-12
259,2.1606405169827824e-12
260,2.1631158465693078e-12
261,2.1655717539520147e-12
262,2.168008396538721e-12
263,2.1704259304394647e-12
264,2.1728245104771922e-12
265,2.1752042901983632e-12
266,2.177565421883476e-12
267,2.179908056557504e-12
268,2.182232344000252e-12
269,2.1845384327566315e-12
270,2.1868264701468516e-12
271,2.189096602276531e-12
272,2.1913489740467282e-12
273,2.1935837291638917e-12
274,2.1958010101497304e-12
275,2.1980009583510073e-12
276,2.200183713949252e-12
277,2.202349415970396e-12
278,2.2044982022943307e-12
279,2.2066302096643905e-12
280,2.2087455736967565e-12
281,2.2108444288897854e-12
282,2.2129269086332665e-12
283,2.2149931452175966e-12
284,2.2170432698428894e-12
285,2.2190774126280066e-12
286,2.2210957026195136e-12
287,2.2230982678005692e-12
288,2.2250852350997358e-12
289,2.2270567303997265e-12
290,2.2290128785460704e-12
291,2.2309538033557204e-12
292,2.232879627625577e-12
293,2.2347904731409555e-12
294,2.236686460683976e-12
295,2.238567710041887e-12
296,2.2404343400153222e-12
297,2.242286468426489e-12
298,2.2441242121272905e-12
299,2.2459476870073796e-12
300,2.24775700800215e-12
301,2.2495522891006595e-12
302,2.251333643353488e-12
303,2.2531011828805324e-12
304,2.2548550188787394e-12
305,2.256595261629769e-12
306,2.2583220205076e-12
307,2.2600354039860734e-12
308,2.2617355196463694e-12
309,2.2634224741844264e-12
310,2.265096373418298e-12
311,2.2667573222954486e-12
312,2.2684054248999913e-12
313,2.2700407844598624e-12
314,2.27166350335394e-12
315,2.2732736831191014e-12
316,2.274871424457225e-12
317,2.2764568272421308e-12
318,2.2780299905264674e-12
319,2.2795910125485377e-12
320,2.2811399907390734e-12
321,2.282677021727949e-12
322,2.2842022013508404e-12
323,2.2857156246558335e-12
324,2.2872173859099696e-12
325,2.288707578605746e-12
326,2.2901862954675554e-12
327,2.291653628458073e-12
328,2.293109668784596e-12
329,2.2945545069053235e-12
330,2.295988232535588e-12
331,2.297410934654035e-12
332,2.298822701508751e-12
333,2.300223620623339e-12
334,2.301613778802946e-12
335,2.3029932621402394e-12
336,2.304362156021332e-12
337,2.3057205451316615e-12
338,2.307068513461817e-12
339,2.308406144313319e-12
340,2.3097335203043527e-12
341,2.3110507233754503e-12
342,2.312357834795128e-12
343,2.3136549351654766e-12
344,2.3149421044277034e-12
345,2.316219421867631e-12
346,2.3174869661211462e-12
347,2.3187448151796078e-12
348,2.3199930463952045e-12
349,2.3212317364862736e-12
350,2.3224609615425727e-12
351,2.3236807970305045e-12
352,2.3248913177983024e-12
353,2.326092598081173e-12
354,2.3272847115063897e-12
355,2.3284677310983535e-12
356,2.3296417292836008e-12
357,2.330806777895778e-12
358,2.3319629481805696e-12
359,2.3331103108005874e-12
360,2.334248935840218e-12
361,2.335378892810431e-12
362,2.3365002506535435e-12
363,2.33761307774795e-12
364,2.338717441912809e-12
365,2.339813410412691e-12
366,2.3409010499621893e-12
367,2.3419804267304904e-12
368,2.3430516063459062e-12
369,2.344114653900371e-12
370,2.345169633953898e-12
371,2.3462166105389985e-12
372,2.3472556471650656e-12
373,2.3482868068227227e-12
374,2.3493101519881305e-12
375,2.3503257446272633e-12
376,2.351333646200147e-12
377,2.352333917665061e-12
378,2.3533266194827074e-12
379,2.3543118116203436e-12
380,2.355289553555879e-12
381,2.356259904281942e-12
382,2.357222922309907e-12
383,2.358178665673892e-12
384,2.3591271919347223e-12
385,2.3600685581838592e-12
386,2.361002821047296e-12
387,2.3619300366894246e-12
388,2.3628502608168647e-12
389,2.3637635486822646e-12
390,2.364669955088071e-12
391,2.3655695343902615e-12
392,2.366462340502053e-12
393,2.3673484268975753e-12
394,2.368227846615514e-12
395,2.369100652262722e-12
396,2.369966896017804e-12
397,2.3708266296346703e-12
398,2.371679904446056e-12
399,2.3725267713670174e-12
400,2.373367280898395e-12
401,2.3742014831302494e-12
402,2.375029427745266e-12
403,2.3758511640221356e-12
404,2.376666740838901e-12
405,2.377476206676282e-12
406,2.3782796096209656e-12
407,2.379076997368874e-12
408,2.3798684172284034e-12
409,2.380653916123637e-12
410,2.3814335405975263e-12
411,2.3822073368150535e-12
412,2.3829753505663588e-12
413,2.383737627269851e-12
414,2.3844942119752824e-12
415,2.385245149366805e-12
416,2.385990483765999e-12
417,2.3867302591348746e-12
418,2.3874645190788495e-12
419,2.3881933068497017e-12
420,2.3889166653485002e-12
421,2.3896346371285035e-12
422,2.390347264398044e-12
423,2.3910545890233805e-12
424,2.3917566525315293e-12
425,2.392453496113073e-12
426,2.393145160624944e-12
427,2.3938316865931845e-12
428,2.394513114215687e-12
429,2.3951894833649036e-12
430,2.395860833590545e-12
431,2.396527204122244e-12
432,2.3971886338722074e-12
433,2.3978451614378366e-12
434,2.3984968251043347e-12
435,2.3991436628472853e-12
436,2.3997857123352127e-12
437,2.4004230109321217e-12
438,2.4010555957000116e-12
439,2.4016835034013755e-12
440,2.4023067705016733e-12
441,2.4029254331717867e-12
442,2.403539527290454e-12
443,2.404149088446682e-12
444,2.4047541519421403e-12
445,2.4053547527935343e-12
446,2.40595092573496e-12
447,2.406542705220236e-12
448,2.4071301254252182e-12
449,2.4077132202500958e-12
450,2.408292023321665e-12
451,2.40886656799559e-12
452,2.409436887358634e-12
453,2.4100030142308857e-12
454,2.4105649811679545e-12
455,2.4111228204631554e-12
456,2.4116765641496725e-12
457,2.4122262440027047e-12
458,2.4127718915415935e-12
459,2.4133135380319324e-12
460,2.4138512144876623e-12
461,2.4143849516731425e-12
462,2.4149147801052127e-12
463,2.4154407300552296e-12
464,2.4159628315510925e-12
465,2.4164811143792498e-12
466,2.4169956080866883e-12
467,2.4175063419829067e-12
468,2.4180133451418718e-12
469,2.4185166464039593e-12
