,AGWP_ch4
0,0.0
1,1.9770153466295143e-14
2,3.937378306828335e-14
3,5.881272222949895e-14
4,7.808876107182876e-14
5,9.720364822372579e-14
6,1.1615909254481124e-13
7,1.3495676477065487e-13
8,1.5359829908135408e-13
9,1.7208529459737291e-13
10,1.904193168059508e-13
11,2.0860189892124372e-13
12,2.266345431812195e-13
13,2.4451872208419846e-13
14,2.6225587956779754e-13
15,2.798474321329192e-13
16,2.972947699153026e-13
17,3.145992577070529e-13
18,3.317622359304414e-13
19,3.487850215661852e-13
20,3.656689090383006e-13
21,3.82415171057543e-13
22,3.9902505942534593e-13
23,4.154998058000956e-13
24,4.318406224274882e-13
25,4.48048702836642e-13
26,4.641252225035598e-13
27,4.800713394834666e-13
28,4.958881950134794e-13
29,5.115769140869953e-13
30,5.271386060011293e-13
31,5.425743648784697e-13
32,5.578852701643529e-13
33,5.730723871008246e-13
34,5.88136767178379e-13
35,6.030794485665376e-13
36,6.179014565242632e-13
37,6.326038037911752e-13
38,6.471874909604762e-13
39,6.616535068344667e-13
40,6.760028287634764e-13
41,6.902364229690119e-13
42,7.043552448518745e-13
43,7.183602392859751e-13
44,7.322523408985322e-13
45,7.460324743373154e-13
46,7.597015545255597e-13
47,7.732604869051474e-13
48,7.867101676686333e-13
49,8.00051483980651e-13
50,8.132853141892245e-13
51,8.264125280274766e-13
52,8.394339868062071e-13
53,8.523505435977882e-13
54,8.651630434118071e-13
55,8.77872323362863e-13
56,8.904792128309079e-13
57,9.029845336144996e-13
58,9.153891000773225e-13
59,9.276937192883108e-13
60,9.398991911556928e-13
61,9.520063085552661e-13
62,9.640158574531843e-13
63,9.759286170235459e-13
64,9.877453597610312e-13
65,9.994668515888548e-13
66,1.0110938519622569e-12
67,1.0226271139677704e-12
68,1.0340673844184775e-12
69,1.0454154039454546e-12
70,1.0566719070856106e-12
71,1.067837622366096e-12
72,1.0789132723854654e-12
73,1.089899573891756e-12
74,1.1007972378576459e-12
75,1.1116069695528416e-12
76,1.12232946861384e-12
77,1.1329654291111987e-12
78,1.1435155396144534e-12
79,1.1539804832547903e-12
80,1.1643609377856116e-12
81,1.1746575756410847e-12
82,1.1848710639927972e-12
83,1.1950020648046062e-12
84,1.205051234885788e-12
85,1.2150192259425694e-12
86,1.2249066846281293e-12
87,1.2347142525911575e-12
88,1.2444425665230369e-12
89,1.2540922582037334e-12
90,1.2636639545464552e-12
91,1.2731582776411497e-12
92,1.2825758447969015e-12
93,1.2919172685832874e-12
94,1.3011831568707479e-12
95,1.3103741128700245e-12
96,1.319490735170714e-12
97,1.3285336177789876e-12
98,1.3375033501545224e-12
99,1.3464005172466779e-12
100,1.3552256995299698e-12
101,1.3639794730388696e-12
102,1.372662409401972e-12
103,1.3812750758755569e-12
104,1.3898180353765853e-12
105,1.398291846515154e-12
106,1.4066970636264392e-12
107,1.4150342368021555e-12
108,1.4233039119215548e-12
109,1.4315066306819908e-12
110,1.439642930629068e-12
111,1.447713345186401e-12
112,1.4557184036849982e-12
113,1.4636586313922935e-12
114,1.4715345495408405e-12
115,1.4793466753566876e-12
116,1.487095522087446e-12
117,1.4947815990300699e-12
118,1.502405411558361e-12
119,1.5099674611502038e-12
120,1.517468245414556e-12
121,1.5249082581181925e-12
122,1.5322879892122216e-12
123,1.5396079248583822e-12
124,1.5468685474551247e-12
125,1.554070335663495e-12
126,1.5612137644328195e-12
127,1.5682993050262033e-12
128,1.5753274250458508e-12
