,AGWP_ch4
0,1.9854118640448002e-13
1,1.9686423383670323e-13
2,1.952013284533729e-13
3,1.9355235422629263e-13
4,1.9191719604839865e-13
5,1.9029573972731966e-13
6,1.8868787197896014e-13
7,1.8709348042110806e-13
8,1.8551245356706716e-13
9,1.8394468081931463e-13
10,1.823900524631841e-13
11,1.8084845966057502e-13
12,1.7931979444368825e-13
13,1.7780394970878862e-13
14,1.7630081920999467e-13
15,1.7481029755309586e-13
16,1.7333228018939795e-13
17,1.7186666340959638e-13
18,1.7041334433767811e-13
19,1.6897222092485266e-13
20,1.675431919435119e-13
21,1.661261569812192e-13
22,1.6472101643472857e-13
23,1.6332767150403327e-13
24,1.6194602418644455e-13
25,1.6057597727070086e-13
26,1.5921743433110739e-13
27,1.5787029972170624e-13
28,1.5653447857047748e-13
29,1.5520987677357127e-13
30,1.5389640098957105e-13
31,1.5259395863378793e-13
32,1.5130245787258674e-13
33,1.5002180761774333e-13
34,1.487519175208337e-13
35,1.474926979676549e-13
36,1.462440600726775e-13
37,1.4500591567353036e-13
38,1.437781773255171e-13
39,1.425607582961646e-13
40,1.4135357255980398e-13
41,1.401565347921832e-13
42,1.389695603651124e-13
43,1.3779256534114094e-13
44,1.366254664682671e-13
45,1.3546818117468e-13
46,1.343206275635335e-13
47,1.3318272440775282e-13
48,1.3205439114487306e-13
49,1.3093554787191033e-13
50,1.29826115340265e-13
51,1.2872601495065706e-13
52,1.2763516874809397e-13
53,1.2655349941687054e-13
54,1.2548093027560105e-13
55,1.2441738527228338e-13
56,1.2336278897939527e-13
57,1.2231706658902274e-13
58,1.2128014390802022e-13
59,1.2025194735320272e-13
60,1.192324039465699e-13
61,1.182214413105617e-13
62,1.1721898766334613e-13
63,1.1622497181413793e-13
64,1.152393231585496e-13
65,1.1426197167397336e-13
66,1.1329284791499458e-13
67,1.1233188300883668e-13
68,1.1137900865083694e-13
69,1.1043415709995377e-13
70,1.0949726117430453e-13
71,1.0856825424673462e-13
72,1.0764707024041721e-13
73,1.0673364362448353e-13
74,1.0582790940968397e-13
75,1.0492980314407947e-13
76,1.0403926090876324e-13
77,1.0315621931361292e-13
78,1.0228061549307239e-13
79,1.0141238710196417e-13
80,1.0055147231133107e-13
81,9.969780980430807e-14
82,9.885133877202335e-14
83,9.801199890952927e-14
84,9.71797304117623e-14
85,9.635447396953228e-14
86,9.553617076554089e-14
87,9.472476247042881e-14
88,9.392019123885194e-14
89,9.312239970558607e-14
90,9.233133098166024e-14
91,9.154692865051828e-14
92,9.076913676420883e-14
93,8.999789983960334e-14
94,8.923316285464193e-14
95,8.847487124460721e-14
96,8.772297089842572e-14
97,8.697740815499684e-14
98,8.623812979954911e-14
99,8.550508306002377e-14
100,8.477821560348535e-14
101,8.405747553255916e-14
102,8.334281138189566e-14
103,8.263417211466135e-14
104,8.193150711905612e-14
105,8.123476620485707e-14
106,8.054389959998816e-14
107,7.985885794711645e-14
108,7.917959230027357e-14
109,7.850605412150331e-14
110,7.783819527753467e-14
111,7.717596803648022e-14
112,7.651932506455992e-14
113,7.586821942284977e-14
114,7.522260456405566e-14
115,7.458243432931181e-14
116,7.394766294500403e-14
117,7.331824501961731e-14
118,7.269413554060787e-14
119,7.207528987129928e-14
120,7.14616637478027e-14
121,7.08532132759609e-14
122,7.024989492831616e-14
123,6.96516655411015e-14
124,6.905848231125553e-14
125,6.84703027934605e-14
126,6.788708489720341e-14
127,6.730878688386021e-14
128,6.673536736380259e-14
129,6.616678529352767e-14
130,6.560299997281006e-14
131,6.504397104187621e-14
132,6.448965847860125e-14
133,6.394002259572753e-14
134,6.339502403810519e-14
