,AGWP_ch4
0,0.0
1,1.989269499018737e-14
2,3.9621559111819465e-14
3,5.918838177864851e-14
4,7.859490985412056e-14
5,9.784284944518767e-14
6,1.1693386761280945e-13
7,1.3586959400292703e-13
8,1.5465162240152404e-13
9,1.7328151221722867e-13
10,1.917607898947613e-13
11,2.100909502623835e-13
12,2.282734578163651e-13
13,2.4630974794535393e-13
14,2.6420122809740136e-13
15,2.819492788922792e-13
16,2.9955525518159983e-13
17,3.170204870591509e-13
18,3.34346280823731e-13
19,3.515339198966911e-13
20,3.6858466569627067e-13
21,3.8549975847073557e-13
22,4.022804180922275e-13
23,4.1892784481315466e-13
24,4.3544321998686837e-13
25,4.518277067542915e-13
26,4.680824506980917e-13
27,4.842085804659184e-13
28,5.002072083641575e-13
29,5.160794309235862e-13
30,5.318263294382538e-13
31,5.474489704788545e-13
32,5.629484063817894e-13
33,5.783256757150799e-13
34,5.935818037222229e-13
35,6.087178027450442e-13
36,6.23734672626542e-13
37,6.386334010946853e-13
38,6.534149641280712e-13
39,6.680803263043167e-13
40,6.826304411320104e-13
41,6.970662513670187e-13
42,7.113886893138998e-13
43,7.255986771131482e-13
44,7.396971270149529e-13
45,7.536849416401294e-13
46,7.675630142288479e-13
47,7.813322288777503e-13
48,7.949934607660332e-13
49,8.085475763710268e-13
50,8.219954336737948e-13
51,8.353378823552454e-13
52,8.485757639832187e-13
53,8.617099121910023e-13
54,8.747411528476978e-13
55,8.876703042208453e-13
56,9.004981771316934e-13
57,9.132255751034788e-13
58,9.258532945030724e-13
59,9.383821246763213e-13
60,9.508128480774048e-13
61,9.631462403925127e-13
62,9.753830706581237e-13
63,9.875241013741723e-13
64,9.995700886123507e-13
65,1.0115217821198078e-12
66,1.02337992541847e-12
67,1.0351452559002169e-12
68,1.0468185049181252e-12
69,1.0584003978739778e-12
70,1.0698916543022412e-12
71,1.0812929879506866e-12
72,1.0926051068578367e-12
73,1.1038287134274005e-12
74,1.1149645044998527e-12
75,1.126013171421316e-12
76,1.1369754001098781e-12
77,1.1478518711194858e-12
78,1.1586432597015479e-12
79,1.1693502358643551e-12
80,1.1799734644304554e-12
81,1.1905136050920705e-12
82,1.2009713124646789e-12
83,1.211347236138848e-12
84,1.2216420207304255e-12
85,1.2318563059291626e-12
86,1.2419907265458683e-12
87,1.2520459125581657e-12
88,1.2620224891549294e-12
89,1.2719210767794768e-12
90,1.281742291171582e-12
91,1.2914867434083727e-12
92,1.3011550399441768e-12
93,1.310747782649374e-12
94,1.3202655688483065e-12
95,1.329708991356302e-12
96,1.3390786385158584e-12
97,1.3483750942320332e-12
98,1.3575989380070908e-12
99,1.3667507449744317e-12
100,1.3758310859318651e-12
101,1.3848405273742409e-12
102,1.393779631525492e-12
103,1.4026489563701073e-12
104,1.411449055684077e-12
105,1.4201804790653338e-12
106,1.428843771963714e-12
107,1.4374394757104765e-12
108,1.4459681275473898e-12
109,1.4544302606554214e-12
110,1.462826404183043e-12
111,1.4711570832741795e-12
112,1.4794228190958142e-12
113,1.4876241288652713e-12
114,1.4957615258771935e-12
115,1.5038355195302288e-12
116,1.511846615353441e-12
117,1.5197953150324584e-12
118,1.527682116435378e-12
119,1.5355075136384263e-12
120,1.543271996951403e-12
121,1.550976052942903e-12
122,1.5586201644653403e-12
123,1.5662048106797742e-12
124,1.573730467080547e-12
125,1.5811976055197477e-12
126,1.588606694231503e-12
127,1.595958197856102e-12
128,1.6032525774639674e-12
129,1.6104902905794736e-12
130,1.617671791204618e-12
131,1.6247975298425535e-12
132,1.6318679535209834e-12
133,1.6388835058154246e-12
134,1.6458446268723474e-12
135,1.652751753432183e-12
136,1.6596053188522188e-12
137,1.666405753129372e-12
138,1.6731534829228496e-12
139,1.6798489315766965e-12
140,1.6864925191422345e-12
141,1.693084662400393e-12
142,1.6996257748839327e-12
143,1.7061162668995702e-12
144,1.7125565455499957e-12
145,1.7189470147557903e-12
146,1.7252880752772474e-12
147,1.7315801247360903e-12
148,1.7378235576370963e-12
149,1.7440187653896211e-12
150,1.7501661363290295e-12
151,1.7562660557380298e-12
152,1.7623189058679097e-12
153,1.7683250659596861e-12
154,1.7742849122651502e-12
155,1.7801988180678266e-12
156,1.7860671537038351e-12
157,1.7918902865826586e-12
158,1.797668581207819e-12
159,1.8034023991974593e-12
160,1.809092099304828e-12
161,1.8147380374386782e-12
162,1.820340566683563e-12
163,1.8259000373200456e-12
164,1.8314167968448073e-12
165,1.836891189990668e-12
166,1.842323558746508e-12
167,1.847714242377095e-12
168,1.85306357744282e-12
169,1.858371897819331e-12
170,1.863639534717076e-12
171,1.8688668167007504e-12
172,1.874054069708643e-12
173,1.8792016170718915e-12
174,1.8843097795336367e-12
175,1.889378875268079e-12
176,1.894409219899445e-12
177,1.8994011265208443e-12
178,1.904354905713035e-12
179,1.9092708655630935e-12
180,1.9141493116829773e-12
181,1.918990547227997e-12
182,1.9237948729151815e-12
183,1.9285625870415496e-12
184,1.9332939855022764e-12
185,1.937989361808767e-12
186,1.9426490071066203e-12
