,AGWP_ch4
0,1.9977102853172109e-13
1,1.9812104348258707e-13
2,1.964846636123162e-13
3,1.948617804596894e-13
4,1.932522863392777e-13
5,1.9165607433804303e-13
6,1.900730383118956e-13
7,1.885030728822107e-13
8,1.869460734323062e-13
9,1.854019361038827e-13
10,1.838705577934287e-13
11,1.8235183614859183e-13
12,1.8084566956451858e-13
13,1.7935195718016372e-13
14,1.7787059887457137e-13
15,1.7640149526312904e-13
16,1.749445476937968e-13
17,1.7349965824331203e-13
18,1.7206672971337246e-13
19,1.7064566562679785e-13
20,1.6923637022367261e-13
21,1.6783874845746997e-13
22,1.664527059911594e-13
23,1.6507814919329858e-13
24,1.6371498513411094e-13
25,1.6236312158155022e-13
26,1.6102246699735286e-13
27,1.5969293053307993e-13
28,1.5837442202614887e-13
29,1.5706685199585715e-13
30,1.5577013163939793e-13
31,1.544841728278691e-13
32,1.5320888810227707e-13
33,1.5194419066953543e-13
34,1.5068999439846018e-13
35,1.4944621381576187e-13
36,1.4821276410203585e-13
37,1.4698956108775138e-13
38,1.4577652124924024e-13
39,1.4457356170468578e-13
40,1.4338060021011343e-13
41,1.4219755515538246e-13
42,1.4102434556018142e-13
43,1.3986089107002565e-13
44,1.3870711195225987e-13
45,1.3756292909206476e-13
46,1.36428263988469e-13
47,1.3530303875036715e-13
48,1.341871760925441e-13
49,1.3308059933170627e-13
50,1.319832323825207e-13
51,1.3089499975366196e-13
52,1.2981582654386772e-13
53,1.2874563843800362e-13
54,1.276843617031373e-13
55,1.26631923184623e-13
56,1.2558825030219605e-13
57,1.2455327104607872e-13
58,1.2352691397309718e-13
59,1.2250910820281004e-13
60,1.2149978341364928e-13
61,1.2049886983907334e-13
62,1.1950629826373338e-13
63,1.1852200001965198e-13
64,1.1754590698241638e-13
65,1.1657795156738447e-13
66,1.156180667259055e-13
67,1.14666185941555e-13
68,1.1372224322638422e-13
69,1.1278617311718481e-13
70,1.118579106717683e-13
71,1.1093739146526129e-13
72,1.1002455158641625e-13
73,1.0911932763393797e-13
74,1.0822165671282651e-13
75,1.0733147643073606e-13
76,1.064487248943505e-13
77,1.0557334070577572e-13
78,1.0470526295894836e-13
79,1.0384443123606232e-13
80,1.0299078560401156e-13
81,1.0214426661085102e-13
82,1.013048152822744e-13
83,1.0047237311811012e-13
84,9.964688208883442e-14
85,9.882828463210277e-14
86,9.801652364929909e-14
87,9.721154250210291e-14
88,9.641328500907497e-14
89,9.562169544226085e-14
90,9.483671852381308e-14
91,9.405829942263161e-14
92,9.328638375102281e-14
93,9.252091756137711e-14
94,9.176184734286506e-14
95,9.100912001815235e-14
96,9.026268294013336e-14
97,8.952248388868365e-14
98,8.87884710674311e-14
99,8.806059310054607e-14
100,8.733879902955046e-14
101,8.662303831014545e-14
102,8.591326080905855e-14
103,8.520941680090931e-14
104,8.451145696509415e-14
105,8.381933238269013e-14
106,8.313299453337765e-14
107,8.245239529238235e-14
108,8.177748692743578e-14
109,8.110822209575498e-14
110,8.044455384104148e-14
111,7.978643559049869e-14
112,7.913382115186869e-14
113,7.848666471048763e-14
114,7.78449208263603e-14
115,7.720854443125332e-14
116,7.65774908258074e-14
117,7.595171567666831e-14
118,7.533117501363663e-14
119,7.471582522683636e-14
