,AGWP_ch4
0,1.9973486700822741e-13
1,1.980493507493809e-13
2,1.9637805817166424e-13
3,1.9472086924472835e-13
4,1.930776649511325e-13
5,1.9144832727779656e-13
6,1.8983273920752538e-13
7,1.8823078471060485e-13
8,1.8664234873646873e-13
9,1.8506731720543585e-13
10,1.8350557700051701e-13
11,1.819570159592911e-13
12,1.8042152286584963e-13
13,1.788989874428095e-13
14,1.773893003433928e-13
15,1.7589235314357374e-13
16,1.7440803833429184e-13
17,1.7293624931373057e-13
18,1.7147688037966149e-13
19,1.7002982672185274e-13
20,1.6859498441454176e-13
21,1.671722504089714e-13
22,1.65761522525989e-13
23,1.643626994487083e-13
24,1.6297568071523254e-13
25,1.6160036671143976e-13
26,1.6023665866382846e-13
27,1.5888445863242387e-13
28,1.5754366950374387e-13
29,1.562141949838246e-13
30,1.5489593959130465e-13
31,1.535888086505676e-13
32,1.5229270828494274e-13
33,1.5100754540996274e-13
34,1.4973322772667859e-13
35,1.4846966371503066e-13
36,1.472167626272759e-13
37,1.459744344814705e-13
38,1.4474259005500736e-13
39,1.4352114087820828e-13
40,1.4230999922797026e-13
41,1.4110907812146508e-13
42,1.3991829130989267e-13
43,1.387375532722864e-13
44,1.375667792093713e-13
45,1.3640588503747397e-13
46,1.3525478738248347e-13
47,1.3411340357386377e-13
48,1.3298165163871626e-13
49,1.3185945029589268e-13
50,1.3074671895015756e-13
51,1.296433776863999e-13
52,1.2854934726389383e-13
53,1.274645491106076e-13
54,1.2638890531756058e-13
55,1.253223386332281e-13
56,1.2426477245799302e-13
57,1.232161308386448e-13
58,1.2217633846292434e-13
59,1.2114532065411526e-13
60,1.2012300336568074e-13
61,1.191093131759454e-13
62,1.1810417728282253e-13
63,1.171075234985852e-13
64,1.161192802446821e-13
65,1.1513937654659666e-13
66,1.1416774202874982e-13
67,1.1320430690944579e-13
68,1.122490019958602e-13
69,1.1130175867907103e-13
70,1.1036250892913099e-13
71,1.0943118529018174e-13
72,1.0850772087560937e-13
73,1.075920493632405e-13
74,1.0668410499057928e-13
75,1.057838225500843e-13
76,1.0489113738448544e-13
77,1.0400598538214043e-13
78,1.0312830297243009e-13
79,1.0225802712119317e-13
80,1.0139509532619897e-13
81,1.0053944561265869e-13
82,9.969101652877433e-14
83,9.88497471413255e-14
84,9.801557703129305e-14
85,9.718844628951994e-14
86,9.636829551240867e-14
87,9.555506579765486e-14
88,9.47486987400171e-14
89,9.394913642712222e-14
90,9.31563214353062e-14
91,9.237019682548997e-14
92,9.159070613909015e-14
93,9.081779339396434e-14
94,9.005140308039038e-14
95,8.929148015707982e-14
96,8.853797004722488e-14
97,8.779081863457886e-14
98,8.704997225956947e-14
99,8.631537771544514e-14
100,8.558698224445376e-14
101,8.486473353405362e-14
102,8.414857971315648e-14
103,8.343846934840217e-14
104,8.273435144046471e-14
105,8.203617542038968e-14
106,8.134389114596222e-14
107,8.065744889810616e-14
108,7.9976799377313e-14
109,7.930189370010134e-14
110,7.863268339550625e-14
111,7.796912040159793e-14
112,7.731115706203018e-14
113,7.665874612261758e-14
114,7.601184072794187e-14
115,7.537039441798679e-14
116,7.473436112480138e-14
117,7.41036951691915e-14
118,7.347835125743906e-14
119,7.285828447804923e-14
120,7.224345029852483e-14
121,7.163380456216815e-14
122,7.10293034849096e-14
123,7.04299036521632e-14
124,6.983556201570858e-14
125,6.924623589059939e-14
126,6.866188295209757e-14
127,6.80824612326338e-14
128,6.750792911879327e-14
129,6.693824534832721e-14
130,6.637336900718937e-14
131,6.581325952659762e-14
132,6.525787668012046e-14
133,6.470718058078791e-14
134,6.416113167822678e-14
135,6.361969075582045e-14
136,6.308281892789213e-14
137,6.255047763691235e-14
138,6.202262865072965e-14
139,6.149923405982481e-14
140,6.09802562745883e-14
141,6.046565802262052e-14
142,5.995540234605514e-14
143,5.944945259890461e-14
144,5.894777244442838e-14
145,5.845032585252325e-14
146,5.795707709713569e-14
147,5.746799075369613e-14
148,5.698303169657463e-14
149,5.650216509655839e-14
150,5.602535641835023e-14
151,5.555257141808829e-14
152,5.508377614088683e-14
153,5.4618936918397445e-14
154,5.415802036639114e-14
155,5.37009933823607e-14
156,5.324782314314327e-14
157,5.279847710256311e-14
158,5.2352922989094077e-14
159,5.191112880354198e-14
160,5.14730628167464e-14
161,5.1038693567301915e-14
162,5.060798985929872e-14
163,5.018092076008194e-14
164,4.975745559803026e-14
165,4.9337563960353124e-14
166,4.892121569090635e-14
167,4.8508380888026585e-14
168,4.8099029902383596e-14
169,4.7693133334851027e-14
170,4.729066203439494e-14
171,4.689158709598018e-14
172,4.649587985849452e-14
173,4.610351190269021e-14
174,4.5714455049142905e-14
175,4.532868135622798e-14
176,4.49461631181136e-14
177,4.456687286277113e-14
178,4.419078335000191e-14
179,4.3817867569481106e-14
180,4.3448098738817705e-14
181,4.3081450301631066e-14
182,4.271789592564376e-14
183,4.2357409500790254e-14
184,4.1999965137341874e-14
185,4.164553716404736e-14
186,4.129410012628916e-14
187,4.0945628784255387e-14
188,4.060009811112702e-14
189,4.025748329128062e-14
190,3.9917759718506025e-14
191,3.958090299423915e-14
192,3.924688892580978e-14
193,3.8915693524704033e-14
194,3.858729300484149e-14
195,3.826166378086702e-14
196,3.793878246645678e-14
197,3.7618625872638725e-14
198,3.73011710061272e-14
199,3.698639506767149e-14
200,3.667427545041852e-14
201,3.63647897382892e-14
202,3.605791570436854e-14
203,3.575363130930934e-14
204,3.545191469974931e-14
205,3.5152744206741673e-14
206,3.4856098344198824e-14
207,3.456195580734931e-14
208,3.427029547120769e-14
209,3.398109638905737e-14
210,3.369433779094628e-14
211,3.3409999082195103e-14
212,3.312805984191831e-14
213,3.284849982155746e-14
214,3.257129894342699e-14
215,3.229643729927232e-14
216,3.2023895148839977e-14
217,3.175365291845992e-14
218,3.1485691199639806e-14
219,3.1219990747671e-14
220,3.095653248024658e-14
221,3.069529747609071e-14
222,3.043626697359988e-14
223,3.017942236949537e-14
224,2.992474521748722e-14
225,2.967221722694947e-14
226,2.9421820261606455e-14
227,2.9173536338230397e-14
228,2.892734762534979e-14
229,2.8683236441968746e-14
230,2.844118525629727e-14
231,2.8201176684492025e-14
232,2.7963193489407934e-14
233,2.772721857936018e-14
234,2.7493235006896695e-14
235,2.726122596758108e-14
236,2.7031174798785627e-14
237,2.6803064978494718e-14
238,2.657688012411818e-14
239,2.6352603991314737e-14
240,2.613022047282533e-14
241,2.5909713597316322e-14
242,2.569106752823247e-14
243,2.5474266562659578e-14
244,2.5259295130196632e-14
245,2.504613779183771e-14
246,2.4834779238863013e-14
247,2.462520429173951e-14
248,2.441739789903076e-14
249,2.4211345136315836e-14
250,2.4007031205117626e-14
251,2.3804441431839854e-14
252,2.3603561266713387e-14
253,2.3404376282751194e-14
254,2.320687217471224e-14
255,2.3011034758074117e-14
256,2.2816849968014312e-14
257,2.2624303858400086e-14
258,2.243338260078688e-14
259,2.2244072483425184e-14
260,2.2056359910275754e-14
261,2.1870231400033178e-14
262,2.1685673585157648e-14
263,2.150267321091496e-14
264,2.1321217134424473e-14
265,2.1141292323715348e-14
266,2.0962885856790467e-14
267,2.078598492069847e-14
268,2.0610576810613562e-14
269,2.043664892892296e-14
270,2.0264188784322283e-14
271,2.009318399091831e-14
272,1.992362226733956e-14
273,1.975549143585417e-14
274,1.958877942149534e-14
275,1.942347425119411e-14
276,1.9259564052919485e-14
277,1.9097037054825788e-14
278,1.893588158440721e-14
279,1.877608606765952e-14
280,1.861763902824883e-14
281,1.8460529086687373e-14
282,1.8304744959516226e-14
283,1.8150275458495e-14
284,1.799710948979822e-14
285,1.7845236053218693e-14
286,1.7694644241377375e-14
287,1.754532323894008e-14
288,1.7397262321840757e-14
289,1.7250450856511206e-14
290,1.7104878299117492e-14
291,1.6960534194802608e-14
292,1.6817408176935712e-14
293,1.667548996636752e-14
294,1.6534769370692122e-14
295,1.6395236283514957e-14
296,1.625688068372698e-14
297,1.6119692634784976e-14
298,1.5983662283997905e-14
299,1.5848779861819308e-14
300,1.571503568114566e-14
301,1.558242013662066e-14
302,1.5450923703945384e-14
303,1.532053693919428e-14
304,1.5191250478136838e-14
305,1.5063055035565194e-14
306,1.4935941404627142e-14
307,1.4809900456164992e-14
