,AGWP_co2
0,0.0
1,1.6991198299102768e-16
2,3.386132366485019e-16
3,5.061286878110075e-16
4,6.724826981618102e-16
5,8.376990771885255e-16
6,1.0018010948453139e-15
7,1.1648114939241168e-15
8,1.3267525021419978e-15
9,1.487645843950928e-15
10,1.647512752076273e-15
11,1.8063739787903913e-15
12,1.9642498069275283e-15
13,2.121160060645517e-15
14,2.2771241159405717e-15
15,2.432160910920585e-15
16,2.586288955842568e-15
17,2.7395263429195324e-15
18,2.8918907559023326e-15
19,3.0433994794413597e-15
20,3.1940694082333992e-15
21,3.3439170559584193e-15
22,3.4929585640111058e-15
23,3.64120971003206e-15
24,3.7886859162430235e-15
25,3.935402257590677e-15
26,4.0813734697035915e-15
27,4.226613956666356e-15
28,4.371137798615325e-15
29,4.514958759159907e-15
30,4.658090292633394e-15
31,4.800545551177568e-15
32,4.942337391664287e-15
33,5.083478382458493e-15
34,5.223980810025707e-15
35,5.363856685388017e-15
36,5.503117750431668e-15
37,5.6417754840699645e-15
38,5.77984110826463e-15
39,5.917325593908966e-15
40,6.054239666575874e-15
41,6.190593812133981e-15
42,6.326398282234822e-15
43,6.461663099674014e-15
44,6.596398063629385e-15
45,6.730612754778913e-15
46,6.864316540300977e-15
47,6.99751857876006e-15
48,7.130227824880102e-15
49,7.26245303420841e-15
50,7.394202767672409e-15
51,7.525485396031847e-15
52,7.65630910422877e-15
53,7.786681895637636e-15
54,7.916611596217901e-15
55,8.046105858571244e-15
56,8.17517216590566e-15
57,8.303817835908632e-15
58,8.432050024531255e-15
59,8.559875729685677e-15
60,8.687301794857508e-15
61,8.814334912635404e-15
62,8.940981628159644e-15
63,9.067248342491473e-15
64,9.193141315905177e-15
65,9.318666671104606e-15
66,9.443830396365783e-15
67,9.568638348607523e-15
68,9.693096256391443e-15
69,9.817209722853196e-15
70,9.940984228566385e-15
71,1.0064425134340797e-14
72,1.0187537683956423e-14
73,1.0310327006834642e-14
74,1.0432798120648206e-14
75,1.0554955933871244e-14
76,1.0676805248270834e-14
77,1.079835076134136e-14
78,1.0919597068682928e-14
79,1.1040548666325338e-14
80,1.116120995299864e-14
81,1.1281585232351598e-14
82,1.1401678715119259e-14
83,1.1521494521240815e-14
84,1.1641036681928813e-14
85,1.1760309141690877e-14
86,1.1879315760305181e-14
87,1.1998060314750397e-14
88,1.2116546501091487e-14
89,1.2234777936322198e-14
90,1.2352758160165294e-14
91,1.2470490636831503e-14
92,1.2587978756738001e-14
93,1.2705225838187679e-14
94,1.2822235129009625e-14
95,1.2939009808162255e-14
96,1.30555529872994e-14
97,1.3171867712300664e-14
98,1.3287956964766567e-14
