,AGWP_co2
0,1.7052580053534253e-15
1,1.6930241609681105e-15
2,1.6810424547018853e-15
3,1.6693071691938952e-15
4,1.6578127181912395e-15
5,1.6465536435384433e-15
6,1.635524612236067e-15
7,1.6247204135668677e-15
8,1.6141359562879613e-15
9,1.6037662658874667e-15
10,1.5936064819041577e-15
11,1.5836518553086673e-15
12,1.5738977459448367e-15
13,1.564339620029824e-15
14,1.5549730477116294e-15
15,1.5457937006827068e-15
16,1.5367973498483872e-15
17,1.527979863048843e-15
18,1.5193372028333747e-15
19,1.510865424285806e-15
20,1.502560672899828e-15
21,1.4944191825031309e-15
22,1.4864372732292118e-15
23,1.4786113495357634e-15
24,1.4709378982685676e-15
25,1.4634134867698584e-15
26,1.45603476103012e-15
27,1.4487984438823388e-15
28,1.4417013332377168e-15
29,1.43474030036191e-15
30,1.4279122881908494e-15
31,1.4212143096852412e-15
32,1.414643446222859e-15
33,1.4081968460277547e-15
34,1.4018717226355442e-15
35,1.3956653533939402e-15
36,1.389575077997719e-15
37,1.3835982970573324e-15
38,1.3777324707003943e-15
39,1.3719751172052825e-15
40,1.36632381166612e-15
41,1.3607761846884192e-15
42,1.3553299211146744e-15
43,1.3499827587792287e-15
44,1.3447324872917309e-15
45,1.339576946848533e-15
46,1.334514027071383e-15
47,1.3295416658727874e-15
48,1.3246578483474318e-15
49,1.3198606056890603e-15
50,1.315148014132227e-15
51,1.3105181939183524e-15
52,1.3059693082855234e-15
53,1.301499562481494e-15
54,1.2971072027993494e-15
55,1.2927905156353195e-15
56,1.2885478265682275e-15
57,1.2843774994600806e-15
58,1.2802779355773134e-15
59,1.2762475727322142e-15
60,1.272284884444067e-15
61,1.2683883791195567e-15
62,1.264556599252e-15
63,1.2607881206389604e-15
64,1.2570815516178358e-15
65,1.253435532318996e-15
66,1.2498487339360753e-15
67,1.2463198580130204e-15
68,1.2428476357475109e-15
69,1.2394308273103783e-15
70,1.2360682211806527e-15
71,1.23275863349588e-15
72,1.2295009074173585e-15
73,1.226293912509954e-15
74,1.2231365441361545e-15
75,1.2200277228640426e-15
76,1.2169663938888618e-15
77,1.2139515264678665e-15
78,1.21098211336815e-15
79,1.2080571703271539e-15
80,1.205175735525564e-15
81,1.2023368690723137e-15
82,1.1995396525014107e-15
83,1.1967831882803208e-15
84,1.1940665993296415e-15
85,1.1913890285538022e-15
86,1.1887496383825453e-15
87,1.1861476103229354e-15
88,1.1835821445216553e-15
89,1.1810524593373522e-15
90,1.178557790922809e-15
91,1.1760973928167052e-15
92,1.1736705355447537e-15
93,1.171276506230001e-15
94,1.1689146082120687e-15
95,1.1665841606751462e-15
96,1.16428449828452e-15
97,1.162014970831453e-15
98,1.159774942886218e-15
99,1.1575637934590948e-15
100,1.155380915669159e-15
101,1.1532257164206689e-15
102,1.1510976160868893e-15
103,1.148996048201171e-15
104,1.146920459155128e-15
105,1.1448703079037417e-15
106,1.1428450656772404e-15
107,1.1408442156995903e-15
108,1.1388672529134546e-15
109,1.136913683711467e-15
110,1.1349830256736736e-15
111,1.133074807311007e-15
112,1.1311885678146492e-15
113,1.1293238568111482e-15
114,1.1274802341231597e-15
115,1.1256572695356831e-15
116,1.1238545425676627e-15
117,1.1220716422488338e-15
118,1.1203081669016953e-15
119,1.1185637239284852e-15
120,1.1168379296030493e-15
121,1.1151304088674888e-15
122,1.1134407951334747e-15
123,1.1117687300881303e-15
124,1.110113863504362e-15
125,1.108475853055553e-15
126,1.1068543641345056e-15
127,1.1052490696765474e-15
128,1.1036596499866917e-15
129,1.1020857925707712e-15
130,1.100527191970447e-15
131,1.098983549602008e-15
132,1.0974545735988664e-15
133,1.0959399786576767e-15
134,1.0944394858879797e-15
135,1.092952822665307e-15
136,1.0914797224876502e-15
137,1.0900199248352313e-15
138,1.0885731750334892e-15
139,1.0871392241192134e-15
140,1.0857178287097515e-15
141,1.084308750875217e-15
142,1.0829117580136356e-15
143,1.081526622728951e-15
144,1.0801531227118392e-15
145,1.078791040623254e-15
146,1.0774401639806471e-15
147,1.0761002850468014e-15
148,1.0747712007212136e-15
149,1.0734527124339745e-15
150,1.0721446260420833e-15
151,1.0708467517281407e-15
152,1.0695589039013696e-15
153,1.068280901100908e-15
154,1.0670125659013214e-15
155,1.0657537248202838e-15
156,1.0645042082283794e-15
157,1.0632638502609725e-15
158,1.062032488732103e-15
159,1.0608099650503571e-15
160,1.0595961241366685e-15
161,1.0583908143440088e-15
162,1.0571938873789182e-15
163,1.05600519822484e-15
164,1.0548246050672137e-15
165,1.0536519692202876e-15
166,1.0524871550556115e-15
167,1.05133002993217e-15
168,1.0501804641281205e-15
169,1.0490383307740979e-15
170,1.0479035057880483e-15
171,1.046775867811561e-15
172,1.0456552981476601e-15
173,1.0445416807000238e-15
174,1.0434349019136006e-15
175,1.0423348507165851e-15
176,1.041241418463729e-15
177,1.0401544988809493e-15
178,1.0390739880112132e-15
179,1.0379997841616585e-15
180,1.0369317878519313e-15
181,1.0358699017637098e-15
182,1.034814030691384e-15
183,1.0337640814938684e-15
184,1.0327199630475217e-15
185,1.0316815862001441e-15
186,1.0306488637260325e-15
187,1.0296217102820661e-15
188,1.0286000423648005e-15
189,1.0275837782685433e-15
190,1.0265728380443974e-15
191,1.025567143460238e-15
192,1.0245666179616103e-15
193,1.0235711866335268e-15
194,1.022580776163137e-15
195,1.0215953148032553e-15
196,1.0206147323367263e-15
197,1.0196389600416072e-15
198,1.0186679306571482e-15
199,1.0177015783505542e-15
200,1.0167398386845088e-15
201,1.0157826485854429e-15
202,1.014829946312532e-15
203,1.0138816714274027e-15
204,1.0129377647645373e-15
205,1.011998168402355e-15
206,1.0110628256349557e-15
207,1.0101316809445138e-15
208,1.009204679974305e-15
209,1.00828176950235e-15
210,1.007362897415664e-15
211,1.006448012685097e-15
212,1.00553706534075e-15
213,1.0046300064479559e-15
214,1.0037267880838113e-15
215,1.0028273633142445e-15
216,1.0019316861716119e-15
217,1.0010397116328074e-15
218,1.0001513955978722e-15
219,9.992666948690962e-16
220,9.983855671306e-16
221,9.975079709283813e-16
222,9.966338656508227e-16
223,9.957632115096438e-16
224,9.9489596952129e-16
225,9.940321014887503e-16
226,9.93171569983789e-16
227,9.923143383295858e-16
228,9.914603705837741e-16
229,9.906096315218685e-16
230,9.897620866210695e-16
231,9.889177020444434e-16
232,9.88076444625461e-16
233,9.872382818528932e-16
234,9.864031818560503e-16
235,9.855711133903626e-16
