,AGWP_n2o
0,0.0
1,3.5683782098822486e-14
2,7.133568157962144e-14
3,1.0695651435863422e-13
4,1.4254704522684578e-13
5,1.7810799049578997e-13
6,2.1364002051804956e-13
7,2.4914376208811827e-13
8,2.846198007290081e-13
9,3.20068682869794e-13
10,3.5549091791902817e-13
11,3.90886980238714e-13
12,4.26257311023414e-13
13,4.616023200887859e-13
14,4.969223875736294e-13
15,5.322178655594724e-13
16,5.674890796114024e-13
17,6.027363302437711e-13
18,6.379598943142169e-13
19,6.73160026349313e-13
20,7.083369598049516e-13
21,7.434909082645272e-13
22,7.786220665777267e-13
23,8.137306119427163e-13
24,8.488167049343857e-13
25,8.838804904810308e-13
26,9.189220987920359e-13
27,9.539416462387096e-13
28,9.889392361905402e-13
29,1.0239149598088982e-12
30,1.0588688968002809e-12
31,1.0938011161308647e-12
32,1.1287116767043038e-12
33,1.163600628004478e-12
34,1.1984680107048047e-12
35,1.2333138572457804e-12
36,1.2681381923821828e-12
37,1.302941033701453e-12
38,1.3377223921145727e-12
39,1.3724822723208225e-12
40,1.4072206732475984e-12
41,1.4419375884665594e-12
42,1.476633006587206e-12
43,1.5113069116290014e-12
44,1.54595928337308e-12
45,1.5805900976945278e-12
46,1.6151993268761814e-12
47,1.6497869399049043e-12
48,1.684352902751089e-12
49,1.7188971786323539e-12
50,1.7534197282621096e-12
51,1.7879205100837877e-12
52,1.822399480491463e-12
53,1.856856594037526e-12
54,1.89129180362804e-12
55,1.925705060706477e-12
56,1.96009631542632e-12
57,1.9944655168131777e-12
58,2.0288126129169213e-12
59,2.0631375509543324e-12
60,2.0974402774427897e-12
61,2.131720738325435e-12
62,2.1659788790882543e-12
63,2.200214644869522e-12
64,2.234427980561993e-12
65,2.2686188309082177e-12
66,2.3027871405893605e-12
67,2.3369328543078583e-12
68,2.371055916864256e-12
69,2.4051562732285314e-12
70,2.439233868606185e-12
71,2.4732886484994413e-12
72,2.507320558763742e-12
73,2.5413295456598792e-12
74,2.5753155559019464e-12
75,2.6092785367013898e-12
76,2.643218435807311e-12
77,2.6771352015433394e-12
78,2.7110287828411707e-12
79,2.7448991292710013e-12
80,2.778746191069077e-12
81,2.81256991916245e-12
82,2.8463702651911787e-12
83,2.8801471815280795e-12
84,2.9139006212961977e-12
85,2.9476305383841417e-12
86,2.9813368874593734e-12
87,3.0150196239796566e-12
88,3.0486787042026894e-12
89,3.0823140851941124e-12
90,3.1159257248339572e-12
91,3.1495135818216366e-12
92,3.183077615679604e-12
93,3.2166177867557277e-12
94,3.2501340562245175e-12
95,3.2836263860872237e-12
96,3.3170947391709596e-12
97,3.3505390791268447e-12
98,3.383959370427305e-12
99,3.4173555783625423e-12
100,3.450727669036256e-12
101,3.4840756093607035e-12
102,3.5173993670510903e-12
103,3.5506989106194125e-12
104,3.583974209367736e-12
105,3.6172252333810174e-12
106,3.650451953519464e-12
107,3.683654341410496e-12
108,3.7168323694403484e-12
109,3.749986010745353e-12
110,3.783115239202903e-12
111,3.8162200294222005e-12
112,3.849300356734728e-12
113,3.8823561971845505e-12
114,3.91538752751844e-12
115,3.948394325175816e-12
116,3.98137656827862e-12
117,4.014334235621023e-12
118,4.047267306659107e-12
119,4.080175761500428e-12
120,4.1130595808935686e-12
121,4.14591874621766e-12
122,4.1787532394718516e-12
123,4.2115630432648394e-12
124,4.244348140804348e-12
125,4.277108515886692e-12
126,4.309844152886333e-12
127,4.342555036745496e-12
128,4.375241152963869e-12
129,4.407902487588331e-12
130,4.440539027202781e-12
131,4.47315075891804e-12
132,4.5057376703618376e-12
133,4.538299749668925e-12
134,4.570836985471243e-12
135,4.6033493668882325e-12
136,4.6358368835172465e-12
137,4.668299525424078e-12
138,4.70073728313361e-12
139,4.7331501476205855e-12
140,4.7655381103005155e-12
141,4.797901163020691e-12
142,4.8302392980513655e-12
143,4.8625525080770196e-12
144,4.894840786187832e-12
145,4.9271041258711995e-12
146,4.959342521003478e-12
147,4.991555965841798e-12
148,5.0237444550160635e-12
149,5.055907983521054e-12
150,5.088046546708709e-12
151,5.120160140280498e-12
152,5.152248760279988e-12
153,5.184312403085492e-12
154,5.216351065402907e-12
155,5.248364744258665e-12
156,5.280353436992808e-12
157,5.3123171412522295e-12
158,5.344255854984018e-12
159,5.376169576428982e-12
160,5.408058304115237e-12
161,5.4399220368520075e-12
162,5.471760773723476e-12
163,5.503574514082827e-12
164,5.535363257546372e-12
165,5.567127003987833e-12
166,5.59886575353272e-12
167,5.630579506552869e-12
168,5.662268263661043e-12
169,5.693932025705711e-12
170,5.7255707937659184e-12
171,5.757184569146246e-12
172,5.7887733533719344e-12
173,5.820337148184089e-12
174,5.8518759555349805e-12
175,5.883389777583494e-12
176,5.91487861669064e-12
177,5.946342475415202e-12
