,AGWP_n2o
0,3.570015330906825e-13
1,3.566741589429869e-13
2,3.5634708500081603e-13
3,3.5602031098887826e-13
4,3.5569383663213453e-13
5,3.553676616557978e-13
6,3.550417857853331e-13
7,3.5471620874645725e-13
8,3.543909302651385e-13
9,3.5406595006759653e-13
10,3.5374126788030187e-13
11,3.534168834299761e-13
12,3.5309279644359124e-13
13,3.5276900664836976e-13
14,3.5244551377178425e-13
15,3.5212231754155723e-13
16,3.5179941768566083e-13
17,3.514768139323167e-13
18,3.511545060099957e-13
19,3.508324936474177e-13
20,3.505107765735513e-13
21,3.5018935451761367e-13
22,3.4986822720907023e-13
23,3.495473943776346e-13
24,3.492268557532681e-13
25,3.489066110661799e-13
26,3.485866600468263e-13
27,3.48267002425911e-13
28,3.479476379343844e-13
29,3.4762856630344404e-13
30,3.4730978726453347e-13
31,3.469913005493428e-13
32,3.466731058898082e-13
33,3.463552030181114e-13
34,3.460375916666801e-13
35,3.45720271568187e-13
36,3.454032424555501e-13
37,3.4508650406193244e-13
38,3.4477005612074155e-13
39,3.4445389836562954e-13
40,3.441380305304927e-13
41,3.438224523494714e-13
42,3.435071635569498e-13
43,3.4319216388755555e-13
44,3.428774530761598e-13
45,3.425630308578766e-13
46,3.422488969680632e-13
47,3.419350511423193e-13
48,3.4162149311648715e-13
49,3.413082226266512e-13
50,3.4099523940913784e-13
51,3.4068254320051546e-13
52,3.4037013373759384e-13
53,3.400580107574242e-13
54,3.397461739972989e-13
55,3.3943462319475106e-13
56,3.3912335808755456e-13
57,3.388123784137239e-13
58,3.3850168391151363e-13
59,3.3819127431941834e-13
60,3.3788114937617256e-13
61,3.375713088207502e-13
62,3.3726175239236473e-13
63,3.3695247983046867e-13
64,3.3664349087475343e-13
65,3.363347852651492e-13
66,3.360263627418246e-13
67,3.357182230451866e-13
68,3.3541036591588014e-13
69,3.35102791094788e-13
70,3.347954983230306e-13
71,3.344884873419657e-13
72,3.3418175789318833e-13
73,3.338753097185305e-13
74,3.335691425600607e-13
75,3.3326325616008434e-13
76,3.3295765026114283e-13
77,3.326523246060138e-13
78,3.3234727893771074e-13
79,3.320425129994828e-13
80,3.3173802653481457e-13
81,3.314338192874259e-13
82,3.311298910012715e-13
83,3.308262414205411e-13
84,3.3052287028965896e-13
85,3.302197773532835e-13
86,3.299169623563076e-13
87,3.2961442504385776e-13
88,3.293121651612944e-13
89,3.290101824542115e-13
90,3.287084766684361e-13
91,3.2840704755002863e-13
92,3.2810589484528205e-13
93,3.2780501830072223e-13
94,3.2750441766310734e-13
95,3.2720409267942785e-13
96,3.269040430969062e-13
97,3.266042686629967e-13
98,3.2630476912538506e-13
99,3.2600554423198855e-13
100,3.257065937309556e-13
101,3.2540791737066546e-13
102,3.2510951489972824e-13
103,3.2481138606698456e-13
104,3.2451353062150527e-13
105,3.2421594831259143e-13
106,3.239186388897739e-13
107,3.236216021028133e-13
108,3.233248377016997e-13
109,3.230283454366523e-13
110,3.227321250581197e-13
111,3.2243617631677894e-13
112,3.22140498963536e-13
113,3.2184509274952503e-13
114,3.215499574261085e-13
115,3.212550927448771e-13
116,3.209604984576488e-13
117,3.2066617431646977e-13
118,3.20372120073613e-13
119,3.2007833548157907e-13
120,3.197848202930953e-13
121,3.1949157426111575e-13
122,3.191985971388212e-13
123,3.1890588867961847e-13
124,3.186134486371409e-13
125,3.1832127676524743e-13
126,3.180293728180228e-13
127,3.1773773654977736e-13
128,3.1744636771504665e-13
129,3.171552660685913e-13
130,3.1686443136539685e-13
131,3.1657386336067354e-13
132,3.162835618098562e-13
133,3.1599352646860366e-13
134,3.15703757092799e-13
135,3.154142534385491e-13
136,3.1512501526218456e-13
137,3.1483604232025934e-13
138,3.1454733436955066e-13
139,3.142588911670589e-13
140,3.13970712470007e-13
141,3.1368279803584084e-13
142,3.133951476222285e-13
143,3.131077609870605e-13
144,3.128206378884491e-13
145,3.125337780847285e-13
146,3.122471813344546e-13
147,3.119608473964047e-13
148,3.116747760295771e-13
149,3.113889669931912e-13
150,3.111034200466874e-13
151,3.108181349497265e-13
152,3.1053311146218966e-13
153,3.102483493441783e-13
154,3.0996384835601385e-13
155,3.096796082582375e-13
156,3.0939562881161e-13
157,3.0911190977711153e-13
158,3.088284509159415e-13
159,3.085452519895182e-13
160,3.0826231275947866e-13
161,3.079796329876787e-13
162,3.0769721243619233e-13
163,3.074150508673118e-13
164,3.071331480435474e-13
165,3.0685150372762704e-13
166,3.0657011768249645e-13
167,3.062889896713185e-13
168,3.060081194574734e-13
169,3.0572750680455834e-13
170,3.0544715147638713e-13
171,3.051670532369904e-13
172,3.04887211850615e-13
173,3.04607627081724e-13
174,3.043282986949965e-13
175,3.0404922645532736e-13
176,3.03770410127827e-13
177,3.0349184947782145e-13
178,3.032135442708515e-13
179,3.0293549427267343e-13
180,3.02657699249258e-13
181,3.023801589667907e-13
182,3.0210287319167144e-13
183,3.0182584169051426e-13
184,3.015490642301473e-13
185,3.012725405776125e-13
186,3.009962705001654e-13
187,3.0072025376527505e-13
188,3.0044449014062355e-13
189,3.001689793941063e-13
190,2.998937212938313e-13
191,2.9961871560811924e-13
192,2.993439621055035e-13
193,2.990694605547294e-13
194,2.987952107247545e-13
195,2.985212123847482e-13
196,2.9824746530409155e-13
197,2.979739692523771e-13
198,2.9770072399940867e-13
199,2.974277293152012e-13
200,2.971549849699805e-13
201,2.9688249073418306e-13
202,2.96610246378456e-13
203,2.9633825167365656e-13
204,2.960665063908523e-13
205,2.9579501030132067e-13
206,2.9552376317654876e-13
207,2.9525276478823326e-13
208,2.9498201490828033e-13
209,2.947115133088051e-13
210,2.944412597621318e-13
211,2.941712540407934e-13
212,2.939014959175315e-13
213,2.936319851652961e-13
214,2.9336272155724534e-13
215,2.930937048667454e-13
216,2.9282493486737025e-13
217,2.925564113329016e-13
218,2.9228813403732855e-13
219,2.920201027548475e-13
220,2.917523172598617e-13
221,2.914847773269816e-13
222,2.9121748273102413e-13
223,2.9095043324701275e-13
224,2.906836286501773e-13
225,2.904170687159536e-13
226,2.901507532199834e-13
227,2.898846819381144e-13
228,2.896188546463997e-13
229,2.893532711210976e-13
230,2.89087931138672e-13
231,2.888228344757914e-13
232,2.8855798090932915e-13
233,2.882933702163634e-13
234,2.8802900217417655e-13
235,2.8776487656025536e-13
236,2.8750099315229047e-13
237,2.8723735172817657e-13
238,2.8697395206601186e-13
239,2.867107939440982e-13
240,2.8644787714094057e-13
241,2.861852014352471e-13
242,2.8592276660592896e-13
243,2.856605724321e-13
244,2.8539861869307654e-13
245,2.851369051683774e-13
246,2.848754316377236e-13
247,2.8461419788103786e-13
248,2.8435320367844515e-13
249,2.840924488102718e-13
250,2.8383193305704564e-13
251,2.8357165619949565e-13
252,2.8331161801855217e-13
253,2.830518182953461e-13
254,2.827922568112093e-13
255,2.82532933347674e-13
256,2.822738476864728e-13
257,2.820149996095385e-13
258,2.817563888990038e-13
259,2.8149801533720125e-13
260,2.81239878706663e-13
261,2.809819787901205e-13
262,2.807243153705047e-13
263,2.8046688823094527e-13
264,2.80209697154771e-13
265,2.799527419255093e-13
266,2.796960223268861e-13
267,2.7943953814282557e-13
268,2.7918328915745013e-13
269,2.789272751550801e-13
270,2.786714959202336e-13
271,2.784159512376264e-13
272,2.781606408921716e-13
273,2.7790556466897953e-13
274,2.776507223533577e-13
275,2.7739611373081036e-13
276,2.7714173858703853e-13
277,2.7688759670793973e-13
278,2.766336878796078e-13
279,2.763800118883328e-13
280,2.7612656852060066e-13
281,2.7587335756309306e-13
282,2.7562037880268757e-13
283,2.753676320264569e-13
284,2.7511511702166917e-13
285,2.748628335757875e-13
286,2.7461078147647e-13
287,2.743589605115694e-13
288,2.74107370469133e-13
289,2.738560111374026e-13
290,2.736048823048139e-13
291,2.733539837599969e-13
292,2.731033152917752e-13
293,2.7285287668916626e-13
294,2.7260266774138077e-13
295,2.723526882378229e-13
296,2.7210293796809e-13
297,2.7185341672197215e-13
298,2.7160412428945224e-13
299,2.7135506046070595e-13
300,2.711062250261011e-13
301,2.708576177761979e-13
302,2.706092385017486e-13
303,2.7036108699369735e-13
304,2.701131630431799e-13
305,2.6986546644152364e-13
306,2.696179969802473e-13
307,2.6937075445106077e-13
308,2.691237386458649e-13
309,2.6887694935675153e-13
310,2.6863038637600287e-13
311,2.6838404949609194e-13
312,2.6813793850968176e-13
313,2.6789205320962577e-13
314,2.676463933889671e-13
315,2.6740095884093874e-13
316,2.6715574935896346e-13
317,2.6691076473665327e-13
318,2.6666600476780955e-13
319,2.664214692464226e-13
320,2.661771579666719e-13
321,2.659330707229254e-13
322,2.6568920730973973e-13
323,2.6544556752186e-13
324,2.652021511542194e-13
325,2.649589580019393e-13
326,2.6471598786032885e-13
327,2.6447324052488483e-13
328,2.6423071579129176e-13
329,2.639884134554214e-13
330,2.637463333133327e-13
331,2.635044751612716e-13
332,2.6326283879567084e-13
333,2.630214240131501e-13
334,2.6278023061051527e-13
335,2.6253925838475867e-13
336,2.622985071330588e-13
337,2.6205797665278016e-13
338,2.61817666741473e-13
339,2.6157757719687326e-13
340,2.613377078169024e-13
341,2.610980583996671e-13
342,2.608586287434593e-13
343,2.606194186467557e-13
344,2.603804279082181e-13
345,2.601416563266926e-13
346,2.5990310370121006e-13
347,2.596647698309854e-13
348,2.5942665451541783e-13
349,2.591887575540904e-13
350,2.5895107874676996e-13
351,2.5871361789340705e-13
352,2.5847637479413553e-13
353,2.582393492492727e-13
354,2.580025410593189e-13
355,2.577659500249573e-13
356,2.57529575947054e-13
357,2.5729341862665766e-13
358,2.5705747786499935e-13
359,2.568217534634925e-13
360,2.5658624522373245e-13
361,2.5635095294749676e-13
362,2.561158764367446e-13
363,2.558810154936166e-13
364,2.5564636992043517e-13
365,2.5541193951970377e-13
